model,seed,k,completion_time_s
onoff,42,2,0.04855000000000088
onoff,42,4,0.032400000000000415
onoff,42,8,0.03295000000000043
onoff,43,1,0.09474999999999772
onoff,43,2,0.049150000000000894
onoff,43,4,0.044950000000000774
onoff,43,8,0.03230000000000041
onoff,44,1,0.07939999999999942
onoff,44,2,0.05010000000000092
onoff,44,4,0.0641500000000011
onoff,44,8,0.033450000000000445
onoff,45,1,0.09184999999999804
onoff,45,2,0.08344999999999897
onoff,45,4,0.06365000000000115
onoff,45,8,0.03790000000000057
onoff,46,1,0.09889999999999727
onoff,46,2,0.05050000000000093
onoff,46,4,0.04485000000000077
onoff,46,8,0.03390000000000046
onoff,47,1,0.08754999999999852
onoff,47,2,0.054050000000001035
onoff,47,4,0.03290000000000043
onoff,47,8,0.028300000000000297
onoff,48,1,0.09064999999999818
onoff,48,2,0.04610000000000081
onoff,48,4,0.03375000000000045
onoff,48,8,0.030300000000000354
onoff,49,1,0.09974999999999717
onoff,49,2,0.054400000000001045
onoff,49,4,0.0318500000000004
onoff,49,8,0.033150000000000436
onoff,50,1,0.11064999999999597
onoff,50,2,0.06255000000000127
onoff,50,4,0.04830000000000087
onoff,50,8,0.03125000000000038
onoff,51,1,0.08789999999999848
onoff,51,2,0.047800000000000856
onoff,51,4,0.03715000000000055
onoff,51,8,0.032100000000000406
onoff,52,1,0.10689999999999639
onoff,52,2,0.08004999999999934
onoff,52,4,0.048850000000000886
onoff,52,8,0.037700000000000566
onoff,53,1,0.0876999999999985
onoff,53,2,0.06625000000000086
onoff,53,4,0.05185000000000097
onoff,53,8,0.03235000000000041
onoff,54,1,0.08729999999999855
onoff,54,2,0.049900000000000916
onoff,54,4,0.047800000000000856
onoff,54,8,0.03685000000000054
onoff,55,1,0.10104999999999703
onoff,55,2,0.06750000000000073
onoff,55,4,0.045650000000000794
onoff,55,8,0.03705000000000055
onoff,56,1,0.08489999999999881
onoff,56,2,0.07489999999999991
onoff,56,4,0.057500000000001134
onoff,56,8,0.03215000000000041
onoff,57,1,0.07559999999999983
onoff,57,2,0.06155000000000125
onoff,57,4,0.035900000000000515
onoff,57,8,0.026200000000000237
onoff,58,1,0.0994999999999972
onoff,58,2,0.05070000000000094
onoff,58,4,0.037600000000000564
onoff,58,8,0.03285000000000043
onoff,59,1,0.1085999999999962
onoff,59,2,0.05745000000000113
onoff,59,4,0.04345000000000073
onoff,59,8,0.04345000000000073
onoff,60,1,0.07340000000000008
onoff,60,2,0.03990000000000063
onoff,60,4,0.03670000000000054
onoff,60,8,0.03430000000000047
onoff,61,1,0.050200000000000924
onoff,61,2,0.049850000000000914
onoff,61,4,0.030000000000000346
onoff,61,8,0.02770000000000028
onoff,62,1,0.06285000000000124
onoff,62,2,0.047450000000000846
onoff,62,4,0.03705000000000055
onoff,62,8,0.03260000000000042
onoff,63,1,0.0940999999999978
onoff,63,2,0.04725000000000084
onoff,63,4,0.033850000000000456
onoff,63,8,0.025500000000000217
onoff,64,1,0.06910000000000055
onoff,64,2,0.052950000000001
onoff,64,4,0.03470000000000048
onoff,64,8,0.03425000000000047
onoff,65,1,0.10669999999999641
onoff,65,2,0.05140000000000096
onoff,65,4,0.04125000000000067
onoff,65,8,0.029700000000000337
onoff,66,1,0.11524999999999547
onoff,66,2,0.0564000000000011
onoff,66,4,0.04000000000000063
onoff,66,8,0.03265000000000042
onoff,67,1,0.09054999999999819
onoff,67,2,0.06010000000000121
onoff,67,4,0.04615000000000081
onoff,67,8,0.04065000000000065
onoff,68,1,0.08969999999999828
onoff,68,2,0.07429999999999998
onoff,68,4,0.040750000000000654
onoff,68,8,0.040750000000000654
onoff,69,1,0.09339999999999787
onoff,69,2,0.05395000000000103
onoff,69,4,0.04160000000000068
onoff,69,8,0.03285000000000043
onoff,70,1,0.10624999999999646
onoff,70,2,0.05420000000000104
onoff,70,4,0.031000000000000374
onoff,70,8,0.024450000000000187
onoff,71,1,0.0949999999999977
onoff,71,2,0.05245000000000099
onoff,71,4,0.04410000000000075
onoff,71,8,0.04410000000000075
