pair_id,arm_id,sample_id,allocator,corrected_completion_time_s,corrected_completion_time_hex,corrected_simulated_ticks,historical_completion_time_s,historical_completion_time_hex,historical_simulated_ticks,corrected_minus_historical_s,corrected_minus_historical_ticks,relative_delta,completion_binary64_equal
a055_proportional_3tier_nb_p64_k8__s003,proportional_3tier_nb_p64_k8,3,link_local_equal_share,0.005799999999999993,3f77c1bda5119cd8,116,0.005799999999999993,3f77c1bda5119cd8,116,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s003,proportional_3tier_nb_p64_k8,3,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s004,proportional_3tier_nb_p64_k8,4,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s004,proportional_3tier_nb_p64_k8,4,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s005,proportional_3tier_nb_p64_k8,5,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s005,proportional_3tier_nb_p64_k8,5,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s006,proportional_3tier_nb_p64_k8,6,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s006,proportional_3tier_nb_p64_k8,6,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s007,proportional_3tier_nb_p64_k8,7,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s007,proportional_3tier_nb_p64_k8,7,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s008,proportional_3tier_nb_p64_k8,8,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s008,proportional_3tier_nb_p64_k8,8,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s009,proportional_3tier_nb_p64_k8,9,link_local_equal_share,0.005699999999999993,3f7758e219652bcc,114,0.005699999999999993,3f7758e219652bcc,114,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s009,proportional_3tier_nb_p64_k8,9,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s010,proportional_3tier_nb_p64_k8,10,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s010,proportional_3tier_nb_p64_k8,10,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s011,proportional_3tier_nb_p64_k8,11,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s011,proportional_3tier_nb_p64_k8,11,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s012,proportional_3tier_nb_p64_k8,12,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s012,proportional_3tier_nb_p64_k8,12,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s013,proportional_3tier_nb_p64_k8,13,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s013,proportional_3tier_nb_p64_k8,13,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s014,proportional_3tier_nb_p64_k8,14,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s014,proportional_3tier_nb_p64_k8,14,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s015,proportional_3tier_nb_p64_k8,15,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s015,proportional_3tier_nb_p64_k8,15,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s016,proportional_3tier_nb_p64_k8,16,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s016,proportional_3tier_nb_p64_k8,16,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s017,proportional_3tier_nb_p64_k8,17,link_local_equal_share,0.005699999999999993,3f7758e219652bcc,114,0.005699999999999993,3f7758e219652bcc,114,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s017,proportional_3tier_nb_p64_k8,17,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s018,proportional_3tier_nb_p64_k8,18,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s018,proportional_3tier_nb_p64_k8,18,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s019,proportional_3tier_nb_p64_k8,19,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s019,proportional_3tier_nb_p64_k8,19,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s020,proportional_3tier_nb_p64_k8,20,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s020,proportional_3tier_nb_p64_k8,20,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s021,proportional_3tier_nb_p64_k8,21,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s021,proportional_3tier_nb_p64_k8,21,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s022,proportional_3tier_nb_p64_k8,22,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s022,proportional_3tier_nb_p64_k8,22,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s023,proportional_3tier_nb_p64_k8,23,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s023,proportional_3tier_nb_p64_k8,23,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s024,proportional_3tier_nb_p64_k8,24,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s024,proportional_3tier_nb_p64_k8,24,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
