pair_id,arm_id,sample_id,fabric,ring_size,k,link_local_time_s,network_maxmin_time_s,network_over_link_local,log_network_over_link_local,network_minus_link_local_s,network_minus_link_local_ms,network_minus_link_local_ticks,tick_class,historical_network_minus_link_local_ticks,historical_tick_class,material_historical_ordering_reversal,equal_over_corrected_link_local,equal_over_corrected_network_maxmin,link_local_prop_minus_equal_ticks,network_maxmin_prop_minus_equal_ticks,equal_claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s041,proportional_3tier_nb_p16_k2,41,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s042,proportional_3tier_nb_p16_k2,42,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s043,proportional_3tier_nb_p16_k2,43,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s044,proportional_3tier_nb_p16_k2,44,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s045,proportional_3tier_nb_p16_k2,45,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s046,proportional_3tier_nb_p16_k2,46,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s047,proportional_3tier_nb_p16_k2,47,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s048,proportional_3tier_nb_p16_k2,48,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s049,proportional_3tier_nb_p16_k2,49,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s050,proportional_3tier_nb_p16_k2,50,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s051,proportional_3tier_nb_p16_k2,51,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s052,proportional_3tier_nb_p16_k2,52,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s053,proportional_3tier_nb_p16_k2,53,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s054,proportional_3tier_nb_p16_k2,54,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s055,proportional_3tier_nb_p16_k2,55,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s056,proportional_3tier_nb_p16_k2,56,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s057,proportional_3tier_nb_p16_k2,57,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s058,proportional_3tier_nb_p16_k2,58,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s059,proportional_3tier_nb_p16_k2,59,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s060,proportional_3tier_nb_p16_k2,60,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s061,proportional_3tier_nb_p16_k2,61,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s062,proportional_3tier_nb_p16_k2,62,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s063,proportional_3tier_nb_p16_k2,63,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s064,proportional_3tier_nb_p16_k2,64,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s065,proportional_3tier_nb_p16_k2,65,3tier_nb,16,2,0.006449999999999989,0.00629999999999999,0.9767441860465117,-0.023530497410194046,-0.0001499999999999991,-0.14999999999999908,-3,maxmin_faster_by_2plus,-3,maxmin_faster_by_2plus,False,1.255813953488371,1.2857142857142845,-33,-36,False
a049_proportional_3tier_nb_p16_k2__s066,proportional_3tier_nb_p16_k2,66,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s067,proportional_3tier_nb_p16_k2,67,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s068,proportional_3tier_nb_p16_k2,68,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s069,proportional_3tier_nb_p16_k2,69,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s070,proportional_3tier_nb_p16_k2,70,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s071,proportional_3tier_nb_p16_k2,71,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
