arm_id,fabric,ring_size,k,pair_count,geometric_mean_ratio,median_ratio,minimum_ratio,maximum_ratio,ci95_low,ci95_high,bootstrap_index_sha256,faster_2plus,exact_tie,one_tick_tie,slower_2plus
proportional_3tier_nb_p16_k4,3tier_nb,16,4,100,0.9959433168020502,1.0,0.776978417266188,1.0,0.9894032505917644,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,2,98,0,0
proportional_3tier_nb_p16_k8,3tier_nb,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_nb_p64_k16,3tier_nb,64,16,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_nb_p64_k2,3tier_nb,64,2,100,0.9735216333002584,0.9933774834437087,0.8372093023255821,1.0,0.9661664675752902,0.9800985113028257,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,41,16,43,0
proportional_3tier_nb_p64_k4,3tier_nb,64,4,100,0.9513420427064337,1.0,0.776978417266188,1.0,0.9367482543199753,0.9654478031031491,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,36,64,0,0
proportional_3tier_nb_p64_k8,3tier_nb,64,8,100,0.9959637336620796,1.0,0.931034482758621,1.0,0.9928442268676773,0.9986432235069678,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,7,93,0,0
proportional_3tier_os2_p16_k16,3tier_os2,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_os2_p16_k2,3tier_os2,16,2,100,0.9989005958359264,1.0,0.8958333333333313,1.0,0.9967054122474887,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,1,99,0,0
proportional_3tier_os2_p16_k4,3tier_os2,16,4,100,0.9633326341119243,1.0,0.750000000000001,1.0,0.9474692784209625,0.978022713169614,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,19,81,0,0
proportional_3tier_os2_p16_k8,3tier_os2,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_os2_p64_k16,3tier_os2,64,16,100,0.9999078376961569,1.0,0.9908256880733946,1.0,0.9997235385693585,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,99,1,0
proportional_3tier_os2_p64_k2,3tier_os2,64,2,100,0.9957473309710517,1.0,0.8958333333333313,1.0,0.992463592273915,0.9984175202515108,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,10,89,1,0
proportional_3tier_os2_p64_k4,3tier_os2,64,4,100,0.8914285877479023,0.9067257821649661,0.7439024390243911,1.0,0.878287371447124,0.9047379687037449,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,94,1,5,0
proportional_3tier_os2_p64_k8,3tier_os2,64,8,100,0.9747836713780824,1.0,0.8780487804878054,1.0,0.9681035981227629,0.9812077310782392,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,41,59,0,0
proportional_3tier_os4_p16_k16,3tier_os4,16,16,100,0.9951176502185505,1.0,0.9473684210526319,1.0,0.9923411779618972,0.9975566264161243,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,12,88,0,0
proportional_3tier_os4_p16_k2,3tier_os4,16,2,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_os4_p16_k4,3tier_os4,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_os4_p16_k8,3tier_os4,16,8,100,0.929850499681166,0.9230769230769235,0.8244274809160312,1.0,0.9213237110196413,0.9387368037424015,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,76,24,0,0
proportional_3tier_os4_p64_k16,3tier_os4,64,16,100,0.9160057648568843,0.915254237288136,0.8503937007874022,0.9473684210526319,0.9114632490850993,0.9204092765539151,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,100,0,0,0
proportional_3tier_os4_p64_k2,3tier_os4,64,2,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_os4_p64_k4,3tier_os4,64,4,100,0.9961351644606479,1.0,0.9242424242424244,1.0,0.9936357113476292,0.9982498066340701,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,11,85,4,0
proportional_3tier_os4_p64_k8,3tier_os4,64,8,100,0.8960618160889763,0.9025167084377614,0.7200000000000011,0.9726027397260275,0.885547269992731,0.9060626373166262,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,100,0,0,0
