run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
2,1509368760,2,8,0.0,0.021500000000000102
2,1509368760,2,8,0.1,0.021500000000000102
2,1509368760,2,8,0.3,0.021500000000000102
2,1509368760,2,8,0.5,0.021500000000000102
2,1509368760,2,16,0.0,0.021500000000000102
2,1509368760,2,16,0.1,0.021500000000000102
2,1509368760,2,16,0.3,0.03085000000000037
2,1509368760,2,16,0.5,0.03055000000000036
2,1509368760,2,32,0.0,0.021500000000000102
2,1509368760,2,32,0.1,0.031350000000000385
2,1509368760,2,32,0.3,0.04155000000000068
2,1509368760,2,32,0.5,0.07190000000000024
2,1509368760,4,4,0.0,0.021500000000000102
2,1509368760,4,4,0.1,0.021500000000000102
2,1509368760,4,4,0.3,0.021500000000000102
2,1509368760,4,4,0.5,0.021500000000000102
2,1509368760,4,8,0.0,0.021500000000000102
2,1509368760,4,8,0.1,0.021500000000000102
2,1509368760,4,8,0.3,0.021500000000000102
2,1509368760,4,8,0.5,0.021500000000000102
2,1509368760,4,16,0.0,0.021500000000000102
2,1509368760,4,16,0.1,0.021500000000000102
2,1509368760,4,16,0.3,0.02765000000000028
2,1509368760,4,16,0.5,0.02420000000000018
2,1509368760,4,32,0.0,0.021500000000000102
2,1509368760,4,32,0.1,0.031350000000000385
2,1509368760,4,32,0.3,0.032750000000000425
2,1509368760,4,32,0.5,0.0388500000000006
2,1509368760,8,4,0.0,0.021500000000000102
2,1509368760,8,4,0.1,0.021500000000000102
2,1509368760,8,4,0.3,0.021500000000000102
2,1509368760,8,4,0.5,0.021500000000000102
2,1509368760,8,8,0.0,0.021500000000000102
2,1509368760,8,8,0.1,0.021500000000000102
2,1509368760,8,8,0.3,0.021500000000000102
2,1509368760,8,8,0.5,0.021500000000000102
2,1509368760,8,16,0.0,0.021500000000000102
2,1509368760,8,16,0.1,0.02175000000000011
2,1509368760,8,16,0.3,0.02385000000000017
2,1509368760,8,16,0.5,0.026400000000000243
2,1509368760,8,32,0.0,0.021500000000000102
2,1509368760,8,32,0.1,0.024350000000000184
2,1509368760,8,32,0.3,0.02915000000000032
2,1509368760,8,32,0.5,0.03340000000000044
3,655696924,1,4,0.0,0.021500000000000102
3,655696924,1,4,0.1,0.021500000000000102
3,655696924,1,4,0.3,0.021500000000000102
3,655696924,1,4,0.5,0.021500000000000102
3,655696924,1,8,0.0,0.021500000000000102
3,655696924,1,8,0.1,0.021500000000000102
3,655696924,1,8,0.3,0.021500000000000102
3,655696924,1,8,0.5,0.021500000000000102
3,655696924,1,16,0.0,0.021500000000000102
3,655696924,1,16,0.1,0.021500000000000102
3,655696924,1,16,0.3,0.061350000000001244
3,655696924,1,16,0.5,0.07489999999999991
3,655696924,1,32,0.0,0.021500000000000102
3,655696924,1,32,0.1,0.04020000000000064
3,655696924,1,32,0.3,0.05070000000000094
3,655696924,1,32,0.5,0.07165000000000027
3,655696924,2,4,0.0,0.021500000000000102
3,655696924,2,4,0.1,0.021500000000000102
3,655696924,2,4,0.3,0.021500000000000102
3,655696924,2,4,0.5,0.021500000000000102
3,655696924,2,8,0.0,0.021500000000000102
3,655696924,2,8,0.1,0.021500000000000102
3,655696924,2,8,0.3,0.021500000000000102
3,655696924,2,8,0.5,0.021500000000000102
3,655696924,2,16,0.0,0.021500000000000102
3,655696924,2,16,0.1,0.02590000000000023
3,655696924,2,16,0.3,0.0424000000000007
3,655696924,2,16,0.5,0.04400000000000075
3,655696924,2,32,0.0,0.021500000000000102
3,655696924,2,32,0.1,0.02910000000000032
3,655696924,2,32,0.3,0.05070000000000094
3,655696924,2,32,0.5,0.07165000000000027
3,655696924,4,4,0.0,0.021500000000000102
3,655696924,4,4,0.1,0.021500000000000102
3,655696924,4,4,0.3,0.021500000000000102
3,655696924,4,4,0.5,0.021500000000000102
3,655696924,4,8,0.0,0.021500000000000102
3,655696924,4,8,0.1,0.021500000000000102
3,655696924,4,8,0.3,0.021500000000000102
3,655696924,4,8,0.5,0.021500000000000102
3,655696924,4,16,0.0,0.021500000000000102
3,655696924,4,16,0.1,0.025450000000000216
3,655696924,4,16,0.3,0.0424000000000007
3,655696924,4,16,0.5,0.04400000000000075
3,655696924,4,32,0.0,0.021500000000000102
3,655696924,4,32,0.1,0.023600000000000163
3,655696924,4,32,0.3,0.03080000000000037
3,655696924,4,32,0.5,0.04490000000000077
3,655696924,8,4,0.0,0.021500000000000102
3,655696924,8,4,0.1,0.021500000000000102
3,655696924,8,4,0.3,0.021500000000000102
3,655696924,8,4,0.5,0.021500000000000102
3,655696924,8,8,0.0,0.021500000000000102
3,655696924,8,8,0.1,0.021500000000000102
3,655696924,8,8,0.3,0.021500000000000102
3,655696924,8,8,0.5,0.021500000000000102
3,655696924,8,16,0.0,0.021500000000000102
3,655696924,8,16,0.1,0.027600000000000277
3,655696924,8,16,0.3,0.037650000000000565
3,655696924,8,16,0.5,0.027850000000000284
3,655696924,8,32,0.0,0.021500000000000102
3,655696924,8,32,0.1,0.022600000000000134
3,655696924,8,32,0.3,0.02730000000000027
3,655696924,8,32,0.5,0.034850000000000485
