policy,seed,k,t
random,79,8,0.1212999999999948
random,80,1,0.32164999999997274
random,80,8,0.09809999999999736
random,81,1,0.3054499999999745
random,81,8,0.08984999999999826
random,82,1,0.3385499999999709
random,82,8,0.1386499999999929
random,83,1,0.32139999999997276
random,83,8,0.08894999999999836
random,84,1,0.39949999999996416
random,84,8,0.10064999999999708
random,85,1,0.4146999999999625
random,85,8,0.09094999999999814
random,86,1,0.35959999999996856
random,86,8,0.08199999999999913
random,87,1,0.4442999999999592
random,87,8,0.09749999999999742
random,88,1,0.41409999999996255
random,88,8,0.12114999999999482
random,89,1,0.3356999999999712
random,89,8,0.0967999999999975
random,90,1,0.40304999999996377
random,90,8,0.10749999999999632
random,91,1,0.41324999999996265
random,91,8,0.09204999999999802
random,92,1,0.42584999999996126
random,92,8,0.10344999999999677
random,93,1,0.3628999999999682
random,93,8,0.11144999999999589
random,94,1,0.3308999999999717
random,94,8,0.12234999999999469
random,95,1,0.3854999999999657
random,95,8,0.10249999999999687
random,96,1,0.4228999999999616
random,96,8,0.12409999999999449
random,97,1,0.39499999999996466
random,97,8,0.10849999999999621
random,98,1,0.40404999999996366
random,98,8,0.11449999999999555
random,99,1,0.38789999999996544
random,99,8,0.12214999999999471
spread,0,1,0.32524999999997234
spread,0,8,0.12819999999999404
spread,1,1,0.3528999999999693
spread,1,8,0.12979999999999386
spread,2,1,0.5348999999999493
spread,2,8,0.1420999999999925
spread,3,1,0.34864999999996976
spread,3,8,0.1204499999999949
spread,8,1,0.3263999999999722
spread,8,8,0.13959999999999279
spread,9,1,0.3339499999999714
spread,9,8,0.11759999999999521
spread,10,1,0.3954999999999646
spread,10,8,0.10779999999999629
spread,11,1,0.45424999999995813
spread,11,8,0.10664999999999641
spread,16,1,0.3173499999999732
spread,16,8,0.11989999999999496
spread,17,1,0.3185499999999731
spread,17,8,0.11259999999999576
spread,18,1,0.3158499999999734
spread,18,8,0.12334999999999458
spread,19,1,0.33424999999997135
spread,19,8,0.12334999999999458
spread,4,1,0.3299499999999718
spread,4,8,0.1366499999999931
spread,5,1,0.3311999999999717
spread,5,8,0.10754999999999632
spread,6,1,0.5845999999999438
spread,6,8,0.1040999999999967
spread,7,1,0.5292499999999499
spread,7,8,0.11559999999999543
spread,12,1,0.3112499999999739
spread,12,8,0.0976999999999974
spread,13,1,0.4109499999999629
spread,13,8,0.10449999999999665
spread,14,1,0.40494999999996356
spread,14,8,0.10639999999999644
spread,15,1,0.5299999999999498
spread,15,8,0.11779999999999519
spread,20,1,0.49409999999995374
spread,20,8,0.09874999999999728
spread,21,1,0.36704999999996774
spread,21,8,0.13879999999999287
spread,22,1,0.38884999999996533
spread,22,8,0.11689999999999529
spread,23,1,0.637799999999938
spread,23,8,0.12174999999999475
spread,36,1,0.3173999999999732
spread,36,8,0.10979999999999607
spread,37,1,0.2946499999999757
spread,37,8,0.1331499999999935
spread,38,1,0.3401999999999707
spread,38,8,0.12689999999999418
spread,39,1,0.32714999999997213
spread,39,8,0.12244999999999467
spread,32,1,0.30589999999997447
spread,32,8,0.12904999999999395
spread,33,1,0.3626499999999682
spread,33,8,0.11394999999999561
spread,34,1,0.2992499999999752
spread,34,8,0.11029999999999601
spread,35,1,0.5268999999999502
spread,35,8,0.155699999999991
spread,28,1,0.2957499999999756
spread,28,8,0.0895499999999983
spread,29,1,0.37694999999996665
spread,29,8,0.13109999999999372
spread,30,1,0.6042499999999417
spread,30,8,0.12009999999999493
spread,31,1,0.3272499999999721
spread,31,8,0.11434999999999557
spread,24,1,0.32614999999997224
spread,24,8,0.11099999999999594
spread,25,1,0.34649999999997
spread,25,8,0.1077499999999963
spread,26,1,0.5770999999999447
spread,26,8,0.13459999999999334
spread,27,1,0.5532999999999473
spread,27,8,0.11444999999999556
spread,40,1,0.36224999999996826
spread,40,8,0.11484999999999551
spread,41,1,0.5728999999999451
spread,41,8,0.09959999999999719
spread,42,1,0.3984499999999643
spread,42,8,0.12024999999999492
spread,43,1,0.3227999999999726
spread,43,8,0.14419999999999228
spread,48,1,0.3336999999999714
spread,48,8,0.13704999999999307
spread,49,1,0.5774999999999446
spread,49,8,0.11704999999999527
spread,50,1,0.32894999999997193
spread,50,8,0.11644999999999534
spread,51,1,0.310349999999974
spread,51,8,0.12064999999999487
spread,44,1,0.32799999999997204
spread,44,8,0.10669999999999641
spread,45,1,0.5385999999999489
spread,45,8,0.09944999999999721
spread,46,1,0.32409999999997247
spread,46,8,0.12269999999999465
spread,47,1,0.5322499999999496
spread,47,8,0.10634999999999645
spread,56,1,0.30784999999997426
spread,56,8,0.12329999999999458
spread,57,1,0.3045499999999746
spread,57,8,0.1593999999999906
spread,58,1,0.3471999999999699
spread,58,8,0.11214999999999581
spread,59,1,0.5480999999999479
spread,59,8,0.08964999999999829
spread,52,1,0.501599999999953
spread,52,8,0.12809999999999405
spread,53,1,0.5472999999999479
spread,53,8,0.10279999999999684
spread,54,1,0.3471999999999699
spread,54,8,0.0985499999999973
spread,55,1,0.3483499999999698
spread,55,8,0.11789999999999518
spread,60,1,0.3391999999999708
spread,60,8,0.11659999999999532
spread,61,1,0.32684999999997216
spread,61,8,0.12144999999999478
spread,62,1,0.583449999999944
spread,62,8,0.1248999999999944
spread,63,1,0.3538499999999692
spread,63,8,0.10089999999999705
spread,64,1,0.32339999999997254
spread,64,8,0.12529999999999436
spread,65,1,0.5539499999999472
spread,65,8,0.1613499999999904
spread,66,1,0.328499999999972
spread,66,8,0.10629999999999645
spread,67,1,0.3317999999999716
spread,67,8,0.13784999999999298
spread,72,1,0.5712499999999453
spread,72,8,0.10609999999999647
spread,73,1,0.34339999999997034
spread,73,8,0.10119999999999701
spread,74,1,0.5710999999999453
spread,74,8,0.11659999999999532
spread,75,1,0.33404999999997137
spread,75,8,0.10749999999999632
spread,80,1,0.3472999999999699
spread,80,8,0.11379999999999563
spread,81,1,0.30869999999997416
spread,81,8,0.11254999999999576
spread,82,1,0.31709999999997324
spread,82,8,0.14439999999999226
spread,83,1,0.5670999999999458
spread,83,8,0.12554999999999433
spread,76,1,0.34589999999997006
spread,76,8,0.1540499999999912
spread,77,1,0.3764999999999667
spread,77,8,0.16529999999998995
spread,78,1,0.4907499999999541
spread,78,8,0.1250499999999944
spread,79,1,0.5913499999999431
spread,79,8,0.11574999999999541
spread,68,1,0.3203999999999729
spread,68,8,0.1838499999999879
spread,69,1,0.3157999999999734
spread,69,8,0.14284999999999243
spread,70,1,0.8660999999999128
spread,70,8,0.17344999999998906
spread,71,1,0.4987999999999532
spread,71,8,0.10389999999999672
spread,92,1,0.3254499999999723
spread,92,8,0.17184999999998923
spread,93,1,0.3426499999999704
spread,93,8,0.11779999999999519
spread,94,1,0.32714999999997213
spread,94,8,0.11644999999999534
spread,95,1,0.33509999999997125
spread,95,8,0.09574999999999761
spread,88,1,0.3117499999999738
spread,88,8,0.10109999999999703
spread,89,1,0.337499999999971
spread,89,8,0.11229999999999579
spread,90,1,0.6076999999999413
spread,90,8,0.11439999999999556
spread,91,1,0.3181999999999731
spread,91,8,0.14534999999999215
spread,96,1,0.5110999999999519
spread,96,8,0.12109999999999482
spread,97,1,0.5534999999999473
spread,97,8,0.09834999999999733
spread,98,1,0.3292999999999719
spread,98,8,0.16079999999999045
spread,99,1,0.328399999999972
spread,99,8,0.11514999999999548
spread,84,1,0.510199999999952
spread,84,8,0.10339999999999677
spread,85,1,0.401049999999964
spread,85,8,0.13089999999999374
spread,86,1,0.3056999999999745
spread,86,8,0.11884999999999507
spread,87,1,0.5435999999999483
spread,87,8,0.13904999999999285
