run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
91,900052056,64,0.1,adaptive,0.021500000000000102,1.0,1
91,900052056,64,0.3,adaptive,0.029650000000000336,1.09375,3
91,900052056,64,0.5,adaptive,0.039100000000000606,1.25,4
92,910052057,64,0.0,adaptive,0.021500000000000102,1.0,1
92,910052057,64,0.1,adaptive,0.021500000000000102,1.0,1
92,910052057,64,0.3,adaptive,0.02880000000000031,1.0625,3
92,910052057,64,0.5,adaptive,0.04175000000000068,1.1875,4
89,880052054,64,0.0,adaptive,0.021500000000000102,1.0,1
89,880052054,64,0.1,adaptive,0.03780000000000057,1.078125,4
89,880052054,64,0.3,adaptive,0.03230000000000041,1.21875,4
89,880052054,64,0.5,adaptive,0.03400000000000046,1.265625,4
90,890052055,64,0.0,adaptive,0.021500000000000102,1.0,1
90,890052055,64,0.1,adaptive,0.029950000000000344,1.03125,3
90,890052055,64,0.3,adaptive,0.031350000000000385,1.171875,4
90,890052055,64,0.5,adaptive,0.04035000000000064,1.21875,4
87,860052052,64,0.0,adaptive,0.021500000000000102,1.0,1
87,860052052,64,0.1,adaptive,0.03250000000000042,1.078125,4
87,860052052,64,0.3,adaptive,0.039750000000000625,1.203125,4
87,860052052,64,0.5,adaptive,0.04965000000000091,1.25,4
88,870052053,64,0.0,adaptive,0.021500000000000102,1.0,1
88,870052053,64,0.1,adaptive,0.03515000000000049,1.140625,4
88,870052053,64,0.3,adaptive,0.0318500000000004,1.09375,3
88,870052053,64,0.5,adaptive,0.04135000000000067,1.1875,4
95,940052060,64,0.0,adaptive,0.021500000000000102,1.0,1
95,940052060,64,0.1,adaptive,0.03010000000000035,1.03125,3
95,940052060,64,0.3,adaptive,0.03790000000000057,1.078125,4
95,940052060,64,0.5,adaptive,0.033150000000000436,1.140625,4
96,950052061,64,0.0,adaptive,0.021500000000000102,1.0,1
96,950052061,64,0.1,adaptive,0.027450000000000273,1.0625,3
96,950052061,64,0.3,adaptive,0.03680000000000054,1.125,4
96,950052061,64,0.5,adaptive,0.04455000000000076,1.28125,4
93,920052058,64,0.0,adaptive,0.021500000000000102,1.0,1
93,920052058,64,0.1,adaptive,0.03250000000000042,1.109375,4
93,920052058,64,0.3,adaptive,0.03925000000000061,1.1875,4
93,920052058,64,0.5,adaptive,0.0423000000000007,1.296875,4
94,930052059,64,0.0,adaptive,0.021500000000000102,1.0,1
94,930052059,64,0.1,adaptive,0.03120000000000038,1.078125,4
94,930052059,64,0.3,adaptive,0.03500000000000049,1.203125,4
94,930052059,64,0.5,adaptive,0.04410000000000075,1.25,4
97,960052062,64,0.0,adaptive,0.021500000000000102,1.0,1
97,960052062,64,0.1,adaptive,0.021500000000000102,1.0,1
97,960052062,64,0.3,adaptive,0.032050000000000405,1.21875,4
97,960052062,64,0.5,adaptive,0.039750000000000625,1.1875,4
98,970052063,64,0.0,adaptive,0.021500000000000102,1.0,1
98,970052063,64,0.1,adaptive,0.02985000000000034,1.0625,3
98,970052063,64,0.3,adaptive,0.03375000000000045,1.140625,4
98,970052063,64,0.5,adaptive,0.04685000000000083,1.140625,4
99,980052064,64,0.0,adaptive,0.021500000000000102,1.0,1
99,980052064,64,0.1,adaptive,0.021500000000000102,1.0,1
99,980052064,64,0.3,adaptive,0.03740000000000056,1.125,4
99,980052064,64,0.5,adaptive,0.03705000000000055,1.21875,4
100,990052065,64,0.0,adaptive,0.021500000000000102,1.0,1
100,990052065,64,0.1,adaptive,0.031400000000000386,1.0625,3
100,990052065,64,0.3,adaptive,0.029250000000000324,1.0625,3
100,990052065,64,0.5,adaptive,0.03375000000000045,1.1875,4
101,1000052066,64,0.0,adaptive,0.021500000000000102,1.0,1
101,1000052066,64,0.1,adaptive,0.02770000000000028,1.03125,3
101,1000052066,64,0.3,adaptive,0.039100000000000606,1.09375,4
101,1000052066,64,0.5,adaptive,0.03515000000000049,1.265625,4
102,1010052067,64,0.0,adaptive,0.021500000000000102,1.0,1
102,1010052067,64,0.1,adaptive,0.02390000000000017,1.0,1
102,1010052067,64,0.3,adaptive,0.025800000000000226,1.0625,3
102,1010052067,64,0.5,adaptive,0.036250000000000525,1.25,4
103,1020052068,64,0.0,adaptive,0.021500000000000102,1.0,1
103,1020052068,64,0.1,adaptive,0.02810000000000029,1.03125,3
103,1020052068,64,0.3,adaptive,0.03285000000000043,1.125,4
103,1020052068,64,0.5,adaptive,0.032450000000000416,1.125,3
104,1030052069,64,0.0,adaptive,0.021500000000000102,1.0,1
104,1030052069,64,0.1,adaptive,0.021500000000000102,1.0,1
104,1030052069,64,0.3,adaptive,0.03655000000000053,1.1875,4
104,1030052069,64,0.5,adaptive,0.03860000000000059,1.28125,4
105,1040052070,64,0.0,adaptive,0.021500000000000102,1.0,1
105,1040052070,64,0.1,adaptive,0.02600000000000023,1.03125,3
105,1040052070,64,0.3,adaptive,0.0319000000000004,1.125,4
105,1040052070,64,0.5,adaptive,0.04340000000000073,1.3125,4
106,1050052071,64,0.0,adaptive,0.021500000000000102,1.0,1
106,1050052071,64,0.1,adaptive,0.021500000000000102,1.0,1
106,1050052071,64,0.3,adaptive,0.031000000000000374,1.109375,4
106,1050052071,64,0.5,adaptive,0.036300000000000526,1.25,4
109,1080052074,64,0.0,adaptive,0.021500000000000102,1.0,1
