model,seed,k,completion_time_s
iid,35,2,0.022000000000000117
iid,35,4,0.021700000000000108
iid,35,8,0.021600000000000105
iid,36,1,0.021500000000000102
iid,36,2,0.021500000000000102
iid,36,4,0.021500000000000102
iid,36,8,0.021550000000000104
iid,37,1,0.021500000000000102
iid,37,2,0.021500000000000102
iid,37,4,0.021650000000000107
iid,37,8,0.021600000000000105
iid,38,1,0.024100000000000177
iid,38,2,0.02215000000000012
iid,38,4,0.021950000000000115
iid,38,8,0.021850000000000112
iid,39,1,0.023000000000000145
iid,39,2,0.02180000000000011
iid,39,4,0.02180000000000011
iid,39,8,0.021600000000000105
iid,40,1,0.022950000000000144
iid,40,2,0.022250000000000124
iid,40,4,0.022250000000000124
iid,40,8,0.022400000000000128
iid,41,1,0.022900000000000142
iid,41,2,0.022000000000000117
iid,41,4,0.021600000000000105
iid,41,8,0.021600000000000105
iid,42,1,0.023750000000000167
iid,42,2,0.022200000000000122
iid,42,4,0.022200000000000122
iid,42,8,0.022000000000000117
iid,43,1,0.021500000000000102
iid,43,2,0.021850000000000112
iid,43,4,0.021850000000000112
iid,43,8,0.022050000000000118
iid,44,1,0.021500000000000102
iid,44,2,0.02180000000000011
iid,44,4,0.02180000000000011
iid,44,8,0.021950000000000115
iid,45,1,0.02280000000000014
iid,45,2,0.02175000000000011
iid,45,4,0.02175000000000011
iid,45,8,0.021600000000000105
iid,46,1,0.02320000000000015
iid,46,2,0.022300000000000125
iid,46,4,0.022200000000000122
iid,46,8,0.022000000000000117
iid,47,1,0.021500000000000102
iid,47,2,0.02175000000000011
iid,47,4,0.02175000000000011
iid,47,8,0.021900000000000114
iid,48,1,0.02280000000000014
iid,48,2,0.02175000000000011
iid,48,4,0.02175000000000011
iid,48,8,0.021600000000000105
iid,49,1,0.022950000000000144
iid,49,2,0.02180000000000011
iid,49,4,0.02180000000000011
iid,49,8,0.021600000000000105
iid,50,1,0.02390000000000017
iid,50,2,0.02215000000000012
iid,50,4,0.02180000000000011
iid,50,8,0.021950000000000115
iid,51,1,0.02285000000000014
iid,51,2,0.022050000000000118
iid,51,4,0.021700000000000108
iid,51,8,0.021650000000000107
iid,52,1,0.022900000000000142
iid,52,2,0.02210000000000012
iid,52,4,0.02175000000000011
iid,52,8,0.021650000000000107
iid,53,1,0.022900000000000142
iid,53,2,0.022000000000000117
iid,53,4,0.022000000000000117
iid,53,8,0.021900000000000114
iid,54,1,0.023000000000000145
iid,54,2,0.02210000000000012
iid,54,4,0.021650000000000107
