run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
21,200051986,32,0.3,adaptive,0.03495000000000049,1.15625,4
21,200051986,32,0.5,adaptive,0.04035000000000064,1.21875,4
22,210051987,16,0.0,adaptive,0.021500000000000102,1.0,1
22,210051987,16,0.1,adaptive,0.021500000000000102,1.0,1
22,210051987,16,0.3,adaptive,0.03330000000000044,1.125,3
22,210051987,16,0.5,adaptive,0.024750000000000195,1.0625,2
22,210051987,32,0.0,adaptive,0.021500000000000102,1.0,1
22,210051987,32,0.1,adaptive,0.021500000000000102,1.0,1
22,210051987,32,0.3,adaptive,0.037700000000000566,1.09375,4
22,210051987,32,0.5,adaptive,0.034850000000000485,1.25,4
23,220051988,16,0.0,adaptive,0.021500000000000102,1.0,1
23,220051988,16,0.1,adaptive,0.03120000000000038,1.1875,4
23,220051988,16,0.3,adaptive,0.023800000000000168,1.0625,2
23,220051988,16,0.5,adaptive,0.028550000000000304,1.1875,3
23,220051988,32,0.0,adaptive,0.021500000000000102,1.0,1
23,220051988,32,0.1,adaptive,0.04260000000000071,1.1875,4
23,220051988,32,0.3,adaptive,0.03475000000000048,1.21875,4
23,220051988,32,0.5,adaptive,0.028550000000000304,1.125,3
24,230051989,16,0.0,adaptive,0.021500000000000102,1.0,1
24,230051989,16,0.1,adaptive,0.028900000000000314,1.125,3
24,230051989,16,0.3,adaptive,0.03410000000000046,1.3125,4
24,230051989,16,0.5,adaptive,0.021500000000000102,1.0,1
24,230051989,32,0.0,adaptive,0.021500000000000102,1.0,1
24,230051989,32,0.1,adaptive,0.034900000000000486,1.09375,4
24,230051989,32,0.3,adaptive,0.03410000000000046,1.15625,4
24,230051989,32,0.5,adaptive,0.04770000000000085,1.21875,4
26,250051991,16,0.0,adaptive,0.021500000000000102,1.0,1
26,250051991,16,0.1,adaptive,0.021500000000000102,1.0,1
26,250051991,16,0.3,adaptive,0.030250000000000353,1.125,3
26,250051991,16,0.5,adaptive,0.03685000000000054,1.1875,4
26,250051991,32,0.0,adaptive,0.021500000000000102,1.0,1
26,250051991,32,0.1,adaptive,0.021500000000000102,1.0,1
26,250051991,32,0.3,adaptive,0.030250000000000353,1.0625,3
26,250051991,32,0.5,adaptive,0.031750000000000396,1.125,4
25,240051990,16,0.0,adaptive,0.021500000000000102,1.0,1
25,240051990,16,0.1,adaptive,0.02670000000000025,1.125,3
25,240051990,16,0.3,adaptive,0.021500000000000102,1.0,1
25,240051990,16,0.5,adaptive,0.04035000000000064,1.1875,4
25,240051990,32,0.0,adaptive,0.021500000000000102,1.0,1
25,240051990,32,0.1,adaptive,0.021500000000000102,1.0,1
25,240051990,32,0.3,adaptive,0.021500000000000102,1.0,1
25,240051990,32,0.5,adaptive,0.04875000000000088,1.34375,4
27,260051992,16,0.0,adaptive,0.021500000000000102,1.0,1
27,260051992,16,0.1,adaptive,0.021500000000000102,1.0,1
27,260051992,16,0.3,adaptive,0.025800000000000226,1.0625,2
27,260051992,16,0.5,adaptive,0.041450000000000674,1.375,4
27,260051992,32,0.0,adaptive,0.021500000000000102,1.0,1
27,260051992,32,0.1,adaptive,0.021500000000000102,1.0,1
27,260051992,32,0.3,adaptive,0.03480000000000048,1.15625,4
27,260051992,32,0.5,adaptive,0.037300000000000555,1.15625,4
28,270051993,16,0.0,adaptive,0.021500000000000102,1.0,1
28,270051993,16,0.1,adaptive,0.021500000000000102,1.0,1
28,270051993,16,0.3,adaptive,0.0318500000000004,1.1875,4
28,270051993,16,0.5,adaptive,0.045300000000000784,1.1875,4
28,270051993,32,0.0,adaptive,0.021500000000000102,1.0,1
28,270051993,32,0.1,adaptive,0.021500000000000102,1.0,1
28,270051993,32,0.3,adaptive,0.04770000000000085,1.1875,4
28,270051993,32,0.5,adaptive,0.03480000000000048,1.09375,4
29,280051994,16,0.0,adaptive,0.021500000000000102,1.0,1
29,280051994,16,0.1,adaptive,0.02880000000000031,1.125,3
29,280051994,16,0.3,adaptive,0.03045000000000036,1.125,3
29,280051994,16,0.5,adaptive,0.03465000000000048,1.3125,4
29,280051994,32,0.0,adaptive,0.021500000000000102,1.0,1
29,280051994,32,0.1,adaptive,0.038650000000000594,1.09375,4
29,280051994,32,0.3,adaptive,0.04210000000000069,1.3125,4
29,280051994,32,0.5,adaptive,0.051250000000000955,1.375,4
31,300051996,16,0.0,adaptive,0.021500000000000102,1.0,1
31,300051996,16,0.1,adaptive,0.0319500000000004,1.125,3
31,300051996,16,0.3,adaptive,0.032100000000000406,1.1875,4
31,300051996,16,0.5,adaptive,0.027800000000000283,1.1875,3
31,300051996,32,0.0,adaptive,0.021500000000000102,1.0,1
31,300051996,32,0.1,adaptive,0.0318500000000004,1.09375,4
31,300051996,32,0.3,adaptive,0.03980000000000063,1.25,4
31,300051996,32,0.5,adaptive,0.04650000000000082,1.3125,4
30,290051995,16,0.0,adaptive,0.021500000000000102,1.0,1
30,290051995,16,0.1,adaptive,0.021500000000000102,1.0,1
30,290051995,16,0.3,adaptive,0.03270000000000042,1.1875,4
30,290051995,16,0.5,adaptive,0.0493500000000009,1.375,4
30,290051995,32,0.0,adaptive,0.021500000000000102,1.0,1
30,290051995,32,0.1,adaptive,0.028300000000000297,1.03125,2
30,290051995,32,0.3,adaptive,0.04055000000000065,1.1875,4
30,290051995,32,0.5,adaptive,0.045700000000000796,1.34375,4
32,310051997,16,0.0,adaptive,0.021500000000000102,1.0,1
32,310051997,16,0.1,adaptive,0.0284500000000003,1.125,3
32,310051997,16,0.3,adaptive,0.0248500000000002,1.0625,2
32,310051997,16,0.5,adaptive,0.0319000000000004,1.1875,4
32,310051997,32,0.0,adaptive,0.021500000000000102,1.0,1
32,310051997,32,0.1,adaptive,0.039450000000000617,1.15625,4
32,310051997,32,0.3,adaptive,0.0248500000000002,1.03125,2
32,310051997,32,0.5,adaptive,0.04035000000000064,1.3125,4
33,320051998,16,0.0,adaptive,0.021500000000000102,1.0,1
33,320051998,16,0.1,adaptive,0.021500000000000102,1.0,1
33,320051998,16,0.3,adaptive,0.02415000000000018,1.125,3
33,320051998,16,0.5,adaptive,0.03990000000000063,1.1875,4
33,320051998,32,0.0,adaptive,0.021500000000000102,1.0,1
33,320051998,32,0.1,adaptive,0.021500000000000102,1.0,1
33,320051998,32,0.3,adaptive,0.02415000000000018,1.0625,3
33,320051998,32,0.5,adaptive,0.046700000000000824,1.25,4
34,330051999,16,0.0,adaptive,0.021500000000000102,1.0,1
34,330051999,16,0.1,adaptive,0.021500000000000102,1.0,1
34,330051999,16,0.3,adaptive,0.021500000000000102,1.0,1
34,330051999,16,0.5,adaptive,0.03405000000000046,1.1875,4
34,330051999,32,0.0,adaptive,0.021500000000000102,1.0,1
34,330051999,32,0.1,adaptive,0.030050000000000347,1.0625,3
34,330051999,32,0.3,adaptive,0.03960000000000062,1.1875,4
34,330051999,32,0.5,adaptive,0.0459500000000008,1.21875,4
35,340052000,16,0.0,adaptive,0.021500000000000102,1.0,1
35,340052000,16,0.1,adaptive,0.021500000000000102,1.0,1
35,340052000,16,0.3,adaptive,0.026900000000000257,1.125,3
35,340052000,16,0.5,adaptive,0.04410000000000075,1.3125,4
35,340052000,32,0.0,adaptive,0.021500000000000102,1.0,1
35,340052000,32,0.1,adaptive,0.021500000000000102,1.0,1
35,340052000,32,0.3,adaptive,0.04085000000000066,1.21875,4
