run,k,completion_time_s
252,8,0.06060000000000122
253,1,0.15049999999999158
253,2,0.1067499999999964
253,4,0.052800000000001
253,8,0.03950000000000062
254,1,0.1257499999999943
254,2,0.11479999999999552
254,4,0.05610000000000109
254,8,0.04195000000000069
255,1,0.14184999999999254
255,2,0.12254999999999466
255,4,0.0759499999999998
255,8,0.06835000000000063
258,1,0.14249999999999247
258,2,0.11384999999999562
258,4,0.059650000000001195
258,8,0.05390000000000103
259,1,0.12074999999999486
259,2,0.0849499999999988
259,4,0.05905000000000118
259,8,0.04560000000000079
260,1,0.13729999999999304
260,2,0.09834999999999733
260,4,0.07250000000000018
260,8,0.04795000000000086
261,1,0.12559999999999433
261,2,0.09384999999999782
261,4,0.05810000000000115
261,8,0.04095000000000066
264,1,0.1413499999999926
264,2,0.09179999999999805
264,4,0.0723000000000002
264,8,0.04650000000000082
265,1,0.146649999999992
265,2,0.08559999999999873
265,4,0.05870000000000117
265,8,0.050900000000000944
268,1,0.11759999999999521
268,2,0.11729999999999524
268,4,0.06805000000000067
268,8,0.044650000000000765
269,1,0.12334999999999458
269,2,0.09064999999999818
269,4,0.08179999999999915
269,8,0.05465000000000105
262,1,0.1893999999999873
262,2,0.09169999999999806
262,4,0.06540000000000096
262,8,0.058200000000001154
263,1,0.14699999999999197
263,2,0.0885999999999984
263,4,0.07429999999999998
263,8,0.04505000000000078
266,1,0.12119999999999481
