run,k,completion_time_s
70,4,0.07469999999999993
70,8,0.046400000000000816
71,1,0.12734999999999413
71,2,0.0840999999999989
71,4,0.05915000000000118
71,8,0.046350000000000814
76,1,0.15469999999999112
76,2,0.07869999999999949
76,4,0.06280000000000124
76,8,0.04680000000000083
77,1,0.1185499999999951
77,2,0.07310000000000011
77,4,0.06110000000000124
77,8,0.05080000000000094
72,1,0.15359999999999124
72,2,0.13334999999999347
72,4,0.07260000000000016
72,8,0.04680000000000083
73,1,0.11809999999999515
73,2,0.08099999999999924
73,4,0.053350000000001015
73,8,0.049550000000000906
68,1,0.12654999999999422
68,2,0.1394499999999928
68,4,0.07370000000000004
68,8,0.047400000000000844
69,1,0.12539999999999435
69,2,0.12514999999999438
69,4,0.0668500000000008
69,8,0.05315000000000101
78,1,0.1258499999999943
78,2,0.08754999999999852
78,4,0.06025000000000121
78,8,0.04195000000000069
79,1,0.15204999999999141
79,2,0.10159999999999697
79,4,0.07474999999999993
79,8,0.061750000000001255
80,1,0.1475499999999919
80,2,0.08794999999999847
80,4,0.05660000000000111
80,8,0.046000000000000804
81,1,0.12539999999999435
81,2,0.11509999999999548
81,4,0.07709999999999967
81,8,0.052650000000000995
82,1,0.1330999999999935
82,2,0.09744999999999743
82,4,0.05035000000000093
82,8,0.04305000000000072
83,1,0.14714999999999195
83,2,0.0986499999999973
83,4,0.07245000000000018
83,8,0.05325000000000101
88,1,0.13324999999999348
88,2,0.09059999999999818
88,4,0.06185000000000126
88,8,0.05110000000000095
89,1,0.13419999999999338
89,2,0.08604999999999868
89,4,0.06575000000000092
89,8,0.04870000000000088
84,1,0.14999999999999164
84,2,0.1031499999999968
84,4,0.05570000000000108
84,8,0.058300000000001156
85,1,0.15734999999999083
85,2,0.07310000000000011
85,4,0.058550000000001164
85,8,0.04385000000000074
90,1,0.1448999999999922
90,2,0.08359999999999895
90,4,0.06785000000000069
90,8,0.04540000000000079
91,1,0.13644999999999313
91,2,0.09969999999999718
91,4,0.06225000000000127
91,8,0.04755000000000085
86,1,0.13439999999999336
86,2,0.08639999999999864
86,4,0.07400000000000001
86,8,0.04895000000000089
87,1,0.1585499999999907
87,2,0.08599999999999869
87,4,0.07010000000000044
87,8,0.05500000000000106
92,1,0.13519999999999327
92,2,0.09734999999999744
92,4,0.0741
92,8,0.05150000000000096
93,1,0.13439999999999336
93,2,0.10909999999999614
93,4,0.0704000000000004
93,8,0.041850000000000685
94,1,0.14439999999999226
94,2,0.10024999999999712
94,4,0.058250000000001155
94,8,0.04295000000000072
95,1,0.14984999999999166
95,2,0.1021999999999969
95,4,0.07120000000000032
95,8,0.04620000000000081
96,1,0.15239999999999138
96,2,0.08969999999999828
96,4,0.06385000000000113
96,8,0.05140000000000096
97,1,0.15234999999999138
97,2,0.08599999999999869
97,4,0.09424999999999778
97,8,0.053000000000001005
98,1,0.11279999999999574
98,2,0.08819999999999845
98,4,0.0868499999999986
98,8,0.05450000000000105
99,1,0.15359999999999124
99,2,0.0976499999999974
99,4,0.06525000000000097
99,8,0.05115000000000095
102,1,0.12819999999999404
102,2,0.09669999999999751
102,4,0.07979999999999937
102,8,0.05115000000000095
103,1,0.11534999999999546
103,2,0.08969999999999828
103,4,0.047800000000000856
103,8,0.03930000000000061
100,1,0.12874999999999398
100,2,0.12364999999999454
100,4,0.06110000000000124
100,8,0.04855000000000088
101,1,0.12359999999999455
101,2,0.08739999999999853
101,4,0.05555000000000108
101,8,0.047400000000000844
106,1,0.11909999999999504
106,2,0.09724999999999745
106,4,0.055850000000001086
106,8,0.04370000000000074
107,1,0.13079999999999375
107,2,0.07649999999999973
107,4,0.07559999999999983
107,8,0.05050000000000093
104,1,0.1439999999999923
104,2,0.08244999999999908
104,4,0.0695000000000005
104,8,0.050550000000000934
105,1,0.11629999999999535
105,2,0.08024999999999932
105,4,0.06215000000000127
105,8,0.05730000000000113
108,1,0.1331499999999935
108,2,0.09489999999999771
108,4,0.07474999999999993
108,8,0.05485000000000106
109,1,0.12149999999999478
109,2,0.10169999999999696
109,4,0.052350000000000986
109,8,0.04750000000000085
110,1,0.15894999999999065
110,2,0.10534999999999656
110,4,0.056850000000001115
110,8,0.04085000000000066
111,1,0.119549999999995
111,2,0.08479999999999882
111,4,0.0668000000000008
111,8,0.04515000000000078
112,1,0.15274999999999134
112,2,0.08579999999999871
112,4,0.06550000000000095
112,8,0.049850000000000914
113,1,0.12894999999999396
113,2,0.0912999999999981
113,4,0.07175000000000026
113,8,0.04820000000000087
114,1,0.12709999999999416
114,2,0.08734999999999854
114,4,0.060000000000001205
114,8,0.04025000000000064
115,1,0.13659999999999312
115,2,0.1213499999999948
115,4,0.06145000000000125
115,8,0.038050000000000576
116,1,0.12634999999999424
116,2,0.1130999999999957
116,4,0.08449999999999885
116,8,0.06435000000000107
117,1,0.13364999999999344
117,2,0.08094999999999924
117,4,0.09924999999999723
117,8,0.05520000000000107
118,1,0.1331499999999935
118,2,0.1259499999999943
118,4,0.06880000000000058
118,8,0.052800000000001
119,1,0.17274999999998913
119,2,0.10724999999999635
119,4,0.07005000000000045
119,8,0.05040000000000093
120,1,0.1320999999999936
120,2,0.10024999999999712
120,4,0.06390000000000112
120,8,0.06040000000000122
121,1,0.12094999999999484
121,2,0.07799999999999957
121,4,0.06285000000000124
121,8,0.04560000000000079
124,1,0.12109999999999482
124,2,0.08204999999999912
124,4,0.04770000000000085
124,8,0.04350000000000073
125,1,0.1322999999999936
125,2,0.10414999999999669
125,4,0.0599000000000012
125,8,0.04195000000000069
122,1,0.12839999999999402
122,2,0.10514999999999658
122,4,0.0632500000000012
122,8,0.05215000000000098
123,1,0.13269999999999355
123,2,0.11104999999999593
123,4,0.058200000000001154
123,8,0.043900000000000744
128,1,0.11654999999999532
128,2,0.09049999999999819
128,4,0.057150000000001124
128,8,0.043250000000000725
129,1,0.13609999999999317
129,2,0.07599999999999979
129,4,0.05035000000000093
129,8,0.039400000000000615
126,1,0.13994999999999275
126,2,0.08979999999999827
126,4,0.06475000000000103
126,8,0.04825000000000087
127,1,0.1431499999999924
127,2,0.07599999999999979
127,4,0.06055000000000122
127,8,0.04805000000000086
130,1,0.13204999999999362
130,2,0.08639999999999864
130,4,0.07190000000000024
130,8,0.04190000000000069
131,1,0.13979999999999276
131,2,0.09324999999999789
131,4,0.07514999999999988
131,8,0.04490000000000077
134,1,0.11384999999999562
134,2,0.09429999999999777
134,4,0.06180000000000126
134,8,0.043900000000000744
135,1,0.1476499999999919
135,2,0.07634999999999975
135,4,0.06345000000000117
135,8,0.0458000000000008
132,1,0.1230999999999946
132,2,0.0850499999999988
132,4,0.05185000000000097
132,8,0.043250000000000725
133,1,0.13709999999999306
133,2,0.08834999999999843
133,4,0.06745000000000073
133,8,0.04540000000000079
136,1,0.18509999999998777
136,2,0.10359999999999675
136,4,0.05745000000000113
136,8,0.041850000000000685
137,1,0.14014999999999272
137,2,0.0913999999999981
137,4,0.060300000000001214
137,8,0.04905000000000089
138,1,0.13339999999999347
138,2,0.08324999999999899
138,4,0.0732000000000001
138,8,0.06200000000000126
139,1,0.13629999999999315
139,2,0.1030999999999968
139,4,0.08069999999999927
139,8,0.04785000000000086
142,1,0.11739999999999523
142,2,0.092299999999998
142,4,0.0598500000000012
142,8,0.049150000000000894
143,1,0.1275499999999941
143,2,0.09784999999999738
143,4,0.05215000000000098
143,8,0.04730000000000084
140,1,0.12519999999999437
140,2,0.1085499999999962
140,4,0.054400000000001045
140,8,0.05525000000000107
141,1,0.15349999999999125
141,2,0.08979999999999827
141,4,0.06370000000000114
141,8,0.05145000000000096
144,1,0.11319999999999569
144,2,0.07285000000000014
144,4,0.052950000000001
144,8,0.04295000000000072
145,1,0.13184999999999364
145,2,0.12899999999999395
145,4,0.08269999999999905
145,8,0.05000000000000092
146,1,0.13154999999999367
146,2,0.10019999999999712
146,4,0.06835000000000063
146,8,0.04385000000000074
147,1,0.13809999999999295
147,2,0.092249999999998
147,4,0.05875000000000117
147,8,0.04960000000000091
148,1,0.1204499999999949
148,2,0.09194999999999803
148,4,0.061000000000001234
148,8,0.049150000000000894
149,1,0.14169999999999255
149,2,0.08254999999999907
149,4,0.07429999999999998
149,8,0.05940000000000119
152,1,0.1266499999999942
152,2,0.07694999999999969
152,4,0.05490000000000106
152,8,0.04970000000000091
153,1,0.12899999999999395
153,2,0.08379999999999893
153,4,0.07904999999999945
153,8,0.04195000000000069
150,1,0.1294999999999939
150,2,0.08234999999999909
150,4,0.05945000000000119
150,8,0.05430000000000104
151,1,0.13454999999999334
151,2,0.10694999999999638
151,4,0.06985000000000047
151,8,0.04055000000000065
154,1,0.11609999999999537
154,2,0.07105000000000034
154,4,0.04970000000000091
154,8,0.048500000000000876
155,1,0.20809999999998524
155,2,0.11724999999999525
155,4,0.07255000000000017
155,8,0.046350000000000814
158,1,0.12554999999999433
158,2,0.09264999999999796
158,4,0.06490000000000101
158,8,0.04765000000000085
159,1,0.13374999999999343
159,2,0.08699999999999858
159,4,0.061400000000001245
159,8,0.05150000000000096
156,1,0.15019999999999162
156,2,0.09789999999999738
156,4,0.06720000000000076
156,8,0.044650000000000765
157,1,0.13354999999999345
157,2,0.09534999999999766
157,4,0.0695000000000005
157,8,0.04860000000000088
162,1,0.11434999999999557
162,2,0.08284999999999904
162,4,0.056900000000001116
162,8,0.04470000000000077
163,1,0.12014999999999493
163,2,0.09199999999999803
163,4,0.06875000000000059
163,8,0.0564000000000011
160,1,0.13004999999999384
160,2,0.09169999999999806
160,4,0.053750000000001026
160,8,0.0563000000000011
161,1,0.18064999999998826
161,2,0.08349999999999896
161,4,0.0597000000000012
161,8,0.04725000000000084
166,1,0.13814999999999295
166,2,0.08924999999999833
166,4,0.05920000000000118
166,8,0.05140000000000096
167,1,0.13709999999999306
167,2,0.08554999999999874
167,4,0.05190000000000097
167,8,0.039100000000000606
172,1,0.13009999999999383
172,2,0.08109999999999923
172,4,0.054400000000001045
172,8,0.041500000000000675
173,1,0.1239999999999945
173,2,0.08889999999999837
173,4,0.0598000000000012
173,8,0.04135000000000067
168,1,0.13264999999999355
168,2,0.09734999999999744
168,4,0.06765000000000071
168,8,0.049200000000000896
169,1,0.14284999999999243
169,2,0.11019999999999602
169,4,0.05810000000000115
169,8,0.05530000000000107
164,1,0.14014999999999272
164,2,0.09389999999999782
164,4,0.06445000000000106
164,8,0.05105000000000095
165,1,0.1785499999999885
165,2,0.10974999999999607
165,4,0.07085000000000036
165,8,0.05215000000000098
174,1,0.16599999999998988
174,2,0.1031499999999968
174,4,0.06430000000000108
174,8,0.046350000000000814
175,1,0.15174999999999145
175,2,0.08839999999999842
