fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_nb,64,2,4,0.006749999999999987,0.0067108864,0.0058283805847147985,10000000000.0,389,4
3tier_nb,64,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,682,6
3tier_os2,64,2,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,115,2
3tier_os2,64,2,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,217,2
3tier_os2,64,2,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,389,4
3tier_os2,64,2,8,0.008099999999999979,0.005856773585454545,0.38301402330398204,11458333333.333334,682,6
3tier_os4,64,2,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,115,2
3tier_os4,64,2,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,217,2
3tier_os4,64,2,4,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,389,4
3tier_os4,64,2,8,0.01614999999999995,0.008206943877707007,0.967845795055224,8177083333.333333,682,6
2tier,64,2,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,98,3
2tier,64,2,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,154,4
2tier,64,2,4,0.008099999999999979,0.007320966981818182,0.10641121864318559,9166666666.666666,214,6
2tier,64,2,8,0.008099999999999979,0.006135667565714287,0.320149749517437,10937499999.999998,250,12
3tier_nb,16,5,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,32,1
3tier_nb,16,5,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,64,1
3tier_nb,16,5,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_nb,16,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,234,2
3tier_os2,16,5,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,32,1
3tier_os2,16,5,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,64,1
