arm_id,sample_id,allocator,window_s,v1_completion_time_s,v1_completion_time_hex,corrected_completion_time_s,corrected_completion_time_hex,delta_s,delta_ticks,relative_delta,binary64_changed,v1_stale_shadow_mismatch_count,v1_maximum_stale_shadow_weight_abs_difference,corrected_counterfactual_retained_weight_mismatch_count,invariant_digests_match,v1_allocator_direction,corrected_allocator_direction,ordering_changed_outside_one_tick_tie
proportional_3tier_os4_p64_k16,66,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,77,link_local_equal_share,0.001,0.005899999999999992,3f782a9930be0de4,0.005899999999999992,3f782a9930be0de4,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,77,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,88,link_local_equal_share,0.001,0.005749999999999993,3f778d4fdf3b6452,0.005749999999999993,3f778d4fdf3b6452,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,88,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,99,link_local_equal_share,0.001,0.005699999999999993,3f7758e219652bcc,0.005699999999999993,3f7758e219652bcc,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,99,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,0,link_local_equal_share,0.001,0.006349999999999989,3f7a027525460a9a,0.006349999999999989,3f7a027525460a9a,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,0,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,11,link_local_equal_share,0.001,0.006349999999999989,3f7a027525460a9a,0.006349999999999989,3f7a027525460a9a,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,11,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,22,link_local_equal_share,0.001,0.006449999999999989,3f7a6b50b0f27ba6,0.006449999999999989,3f7a6b50b0f27ba6,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,22,network_maxmin,0.001,0.005549999999999994,3f76bb98c7e2823a,0.005549999999999994,3f76bb98c7e2823a,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,33,link_local_equal_share,0.001,0.006849999999999986,3f7c0ebedfa43fd6,0.006849999999999986,3f7c0ebedfa43fd6,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,33,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,44,link_local_equal_share,0.001,0.006499999999999988,3f7a9fbe76c8b42c,0.006499999999999988,3f7a9fbe76c8b42c,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,44,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,55,link_local_equal_share,0.001,0.005899999999999992,3f782a9930be0de4,0.005899999999999992,3f782a9930be0de4,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,55,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,66,link_local_equal_share,0.001,0.007249999999999984,3f7db22d0e560406,0.007249999999999984,3f7db22d0e560406,0.0,0,0.0,False,0,0.0,56,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,66,network_maxmin,0.001,0.00619999999999999,3f79652bd3c36108,0.0061499999999999905,3f7930be0ded2882,-4.99999999999997e-05,-1,-0.008064516129032221,True,4,0.0625,6,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,77,link_local_equal_share,0.001,0.00619999999999999,3f79652bd3c36108,0.00619999999999999,3f79652bd3c36108,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,77,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,88,link_local_equal_share,0.001,0.006849999999999986,3f7c0ebedfa43fd6,0.006849999999999986,3f7c0ebedfa43fd6,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,88,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,99,link_local_equal_share,0.001,0.00619999999999999,3f79652bd3c36108,0.00619999999999999,3f79652bd3c36108,0.0,0,0.0,False,0,0.0,16,True,network_maxmin_faster,network_maxmin_faster,False
proportional_2tier_p64_k8,99,network_maxmin,0.001,0.005449999999999995,3f7652bd3c36112e,0.005449999999999995,3f7652bd3c36112e,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
