pair_id,arm_id,sample_id,family,runner,policy,placement_policy,fabric,ring_size,k,affected_fraction,congestion_model,arrival_rate_fps,frozen_method,legacy_time_s,maxmin_time_s,maxmin_over_legacy,maxmin_delta_pct,campaign_use
a001_equal_3tier_nb_p16_k1__s043,equal_3tier_nb_p16_k1,43,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s044,equal_3tier_nb_p16_k1,44,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s045,equal_3tier_nb_p16_k1,45,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s046,equal_3tier_nb_p16_k1,46,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s047,equal_3tier_nb_p16_k1,47,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s048,equal_3tier_nb_p16_k1,48,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s049,equal_3tier_nb_p16_k1,49,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s050,equal_3tier_nb_p16_k1,50,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s051,equal_3tier_nb_p16_k1,51,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s052,equal_3tier_nb_p16_k1,52,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s053,equal_3tier_nb_p16_k1,53,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s054,equal_3tier_nb_p16_k1,54,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s055,equal_3tier_nb_p16_k1,55,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s056,equal_3tier_nb_p16_k1,56,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s057,equal_3tier_nb_p16_k1,57,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s058,equal_3tier_nb_p16_k1,58,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s059,equal_3tier_nb_p16_k1,59,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s060,equal_3tier_nb_p16_k1,60,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s061,equal_3tier_nb_p16_k1,61,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s062,equal_3tier_nb_p16_k1,62,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s063,equal_3tier_nb_p16_k1,63,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s064,equal_3tier_nb_p16_k1,64,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s065,equal_3tier_nb_p16_k1,65,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s066,equal_3tier_nb_p16_k1,66,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
