pair_id,arm_id,sample_id,family,runner,policy,allocator,execution_position,completion_time_s,completion_time_hex,simulated_ticks,wall_time_s,cpu_time_s,simulation_wall_time_s,simulation_cpu_time_s,config_sha256,topology_sha256,ring_sha256,route_sha256,process_initial_sha256,conservation_max_error_B,conservation_remaining_B,foreground_flow_count,adaptive_event_count,final_k_mean,final_k_max,step_count,mean_step_s,p99_step_s,max_step_s,oracle_status,pilot_use
a001_equal_3tier_nb_p16_k1__s010,equal_3tier_nb_p16_k1,10,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.01661150000290945,0.015625,0.005789299990283325,0.0,3809c8a41ec1de87ec50352d2ae208a3148ee7e1588ad86c6d6f33209aa74aee,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,85df1b8d24a0e4f4e374f990a2f5dcca1cbddd95f8e697bb7e0f810138f8c666,57472659593660c115589916f16f89d106833f3a1a42a6d638fe9d7ec9e55aac,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s010,equal_3tier_nb_p16_k1,10,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.030043100006878376,0.03125,0.011251699994318187,0.015625,3809c8a41ec1de87ec50352d2ae208a3148ee7e1588ad86c6d6f33209aa74aee,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,85df1b8d24a0e4f4e374f990a2f5dcca1cbddd95f8e697bb7e0f810138f8c666,57472659593660c115589916f16f89d106833f3a1a42a6d638fe9d7ec9e55aac,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s011,equal_3tier_nb_p16_k1,11,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01924890000373125,0.015625,0.0071770999929867685,0.0,6890abc27dfa81ceb12049b51dc9aa08a281a6a18f51fcca1e28dd2a27cce52e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,ee85938778656885738cac3519af0f6bc78bf298f799e616c3ac205d96d82699,a19235506e432391ad6a1b2c74ddf0cbf23c88e233ea8b5476a2e246572b07ec,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s011,equal_3tier_nb_p16_k1,11,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.016079099994385615,0.015625,0.010441999998874962,0.015625,6890abc27dfa81ceb12049b51dc9aa08a281a6a18f51fcca1e28dd2a27cce52e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,ee85938778656885738cac3519af0f6bc78bf298f799e616c3ac205d96d82699,a19235506e432391ad6a1b2c74ddf0cbf23c88e233ea8b5476a2e246572b07ec,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s012,equal_3tier_nb_p16_k1,12,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.02457989999675192,0.015625,0.008542499999748543,0.0,565fff47411d03c0f5287f62113b42992b840a0a37c1b8c007f02a0111731665,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9d767a4d1bec2fa53f5f204dbeac88f77104d19bf6b4cad7fdde1ecad78f79f7,ce67efac3b17b1e0851ddb184abec92c206d4317c209f3c9c3eb9606c966654b,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s012,equal_3tier_nb_p16_k1,12,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.021374000003561378,0.03125,0.010527400008868426,0.015625,565fff47411d03c0f5287f62113b42992b840a0a37c1b8c007f02a0111731665,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9d767a4d1bec2fa53f5f204dbeac88f77104d19bf6b4cad7fdde1ecad78f79f7,ce67efac3b17b1e0851ddb184abec92c206d4317c209f3c9c3eb9606c966654b,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s013,equal_3tier_nb_p16_k1,13,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.022826200001873076,0.03125,0.007746999996015802,0.015625,5c6de334435801b5caed4d57787425a7ec0126e0f16530cd6d6be5f70fbfd398,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,3c89b15b36dcd64b4b7c8894af3f671dfccee68a8d2100ff900914887ce06012,1b334b9f72763a2e75635e05237b0c41f9877e83fb925e5d475111bec2ddcf1c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s013,equal_3tier_nb_p16_k1,13,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.018597399990539998,0.015625,0.012382099987007678,0.015625,5c6de334435801b5caed4d57787425a7ec0126e0f16530cd6d6be5f70fbfd398,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,3c89b15b36dcd64b4b7c8894af3f671dfccee68a8d2100ff900914887ce06012,1b334b9f72763a2e75635e05237b0c41f9877e83fb925e5d475111bec2ddcf1c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s014,equal_3tier_nb_p16_k1,14,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.011148000019602478,0.015625,0.005933699983870611,0.0,18af7d6833f5b97ef7d1fed63404f21a4db4bbe2193b0e2eb52c757ddf19a574,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,600910bde7405999decd6953930839473c9994bb4889e36eabb8a0340c301778,9988fadeb40efd253dea61c1f28c5f1a26fbdc197dd53bf2bf919204982471e2,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s014,equal_3tier_nb_p16_k1,14,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.020196800003759563,0.015625,0.009931400010827929,0.015625,18af7d6833f5b97ef7d1fed63404f21a4db4bbe2193b0e2eb52c757ddf19a574,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,600910bde7405999decd6953930839473c9994bb4889e36eabb8a0340c301778,9988fadeb40efd253dea61c1f28c5f1a26fbdc197dd53bf2bf919204982471e2,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s015,equal_3tier_nb_p16_k1,15,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.012157699995441362,0.015625,0.006134900002507493,0.0,1ee32754fba3921465a50da6fa4f89aa49d3048310a81098ee884f377b5c987d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d030d3154634f624d3b0eceff82f503bc2362a1ab6e0f5fefd83786f160e2776,4ab0cc956208720d201c7a69ff0630aabd39c2475553390a8e3dd1393e41623c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s015,equal_3tier_nb_p16_k1,15,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.019941500009736046,0.015625,0.01111940000555478,0.015625,1ee32754fba3921465a50da6fa4f89aa49d3048310a81098ee884f377b5c987d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d030d3154634f624d3b0eceff82f503bc2362a1ab6e0f5fefd83786f160e2776,4ab0cc956208720d201c7a69ff0630aabd39c2475553390a8e3dd1393e41623c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s016,equal_3tier_nb_p16_k1,16,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.014138700003968552,0.015625,0.00779469998087734,0.015625,ccd7f20e14801458b2fd3f7204bec8a811837e1ba19d617908ab1ca055841ec6,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d6251c8bf0733e889612426fcb3dbb69f495126fdee1b729f0a7809b89cd8231,be6830463e6d559d8f456f3f66dfba753a51d8fc96780b98237b0e40a0e13cce,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s016,equal_3tier_nb_p16_k1,16,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.02464349998626858,0.015625,0.010508400009712204,0.0,ccd7f20e14801458b2fd3f7204bec8a811837e1ba19d617908ab1ca055841ec6,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d6251c8bf0733e889612426fcb3dbb69f495126fdee1b729f0a7809b89cd8231,be6830463e6d559d8f456f3f66dfba753a51d8fc96780b98237b0e40a0e13cce,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s017,equal_3tier_nb_p16_k1,17,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01919710001675412,0.015625,0.007217999984277412,0.015625,b5c30648c5efdd09cf95d14d7c21e5dc3b78ea4789def2c3b02e34627d64b4d1,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,094d79ae1399522524e88e5cc0538f3527c3bb5ee3dd43d25ac4b76ee933706a,534d06c95805cc8b4615841b87638a9f501e9ef2a4e3f7690afdf844ae2c99be,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
