arm_id,family,n_pairs,legacy_mean_s,maxmin_mean_s,paired_ratio_mean,paired_ratio_median,paired_ratio_min,paired_ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference_note
congestion_onoff_p16_k8,congestion,100,0.033210500000000434,0.0320040000000004,0.9637990368863895,0.9687529370937769,0.8734567901234548,1.0,98,2,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af00_adaptive,controller,100,0.02288350000000014,0.022875500000000142,0.9997522343832146,1.0,0.9868852459016392,1.0,2,98,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af00_baseline,controller,100,0.026219000000000235,0.026219000000000235,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af00_static_k4,controller,100,0.021661000000000107,0.021661000000000107,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af01_adaptive,controller,100,0.03567500000000051,0.03508900000000049,0.983776552437988,0.9885148151113663,0.9004854368932026,1.0620384047267366,66,10,24,descriptive_only_CI_and_claim_audit_follow
controller_p16_af01_baseline,controller,100,0.06434900000000038,0.06425950000000039,0.9989053350999129,1.0,0.9305169538632637,1.0,4,96,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af01_static_k4,controller,100,0.03339700000000045,0.032511500000000415,0.9730386858070915,0.9860774476441548,0.7634920634920597,1.0,76,24,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af03_adaptive,controller,100,0.046023500000000786,0.044291000000000746,0.9620633264762057,0.9670219717091035,0.7812197483059029,1.0381355932203393,87,3,10,descriptive_only_CI_and_claim_audit_follow
controller_p16_af03_baseline,controller,100,0.09366399999999783,0.09330899999999787,0.9968695277592089,1.0,0.8782608695652265,1.0,5,95,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af03_static_k4,controller,100,0.042694000000000704,0.04118050000000066,0.9643364878329773,0.9734429515254988,0.8662251655629121,1.0,89,11,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af05_adaptive,controller,100,0.053267500000000904,0.05133350000000088,0.9637428929363057,0.9681111111111107,0.8644859813084099,1.032290615539859,90,3,7,descriptive_only_CI_and_claim_audit_follow
controller_p16_af05_baseline,controller,100,0.10989649999999605,0.10943849999999611,0.9963600717922968,1.0,0.8727901614143047,1.0,9,91,0,descriptive_only_CI_and_claim_audit_follow
controller_p16_af05_static_k4,controller,100,0.04943150000000083,0.047265000000000806,0.9561196398661513,0.9622654423991949,0.8496815286624184,1.0,95,5,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af00_adaptive,controller,100,0.030065000000000345,0.02983850000000034,0.9928409514596978,0.9934264185594295,0.931610942249239,1.005952380952381,55,41,4,descriptive_only_CI_and_claim_audit_follow
controller_p64_af00_baseline,controller,100,0.04381050000000073,0.04381050000000073,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af00_static_k4,controller,100,0.02380400000000017,0.02380400000000017,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af01_adaptive,controller,100,0.043177000000000715,0.042365000000000694,0.9815214023815879,0.990296066048145,0.8923976608187122,1.0694597574421176,64,8,28,descriptive_only_CI_and_claim_audit_follow
