run,k,affected_fraction,completion_time_s
124,2,0.0,0.03225000000000041
124,4,0.0,0.021500000000000102
124,8,0.0,0.021500000000000102
125,1,0.0,0.04295000000000072
125,2,0.0,0.03225000000000041
125,4,0.0,0.021850000000000112
125,8,0.0,0.021850000000000112
126,1,0.0,0.04295000000000072
126,2,0.0,0.03225000000000041
126,4,0.0,0.021500000000000102
126,8,0.0,0.021500000000000102
127,1,0.0,0.06455000000000105
127,2,0.0,0.03225000000000041
127,4,0.0,0.022750000000000138
127,8,0.0,0.023400000000000157
128,1,0.0,0.04295000000000072
128,2,0.0,0.03225000000000041
128,4,0.0,0.021500000000000102
128,8,0.0,0.021500000000000102
129,1,0.0,0.04295000000000072
129,2,0.0,0.03225000000000041
129,4,0.0,0.023100000000000148
129,8,0.0,0.021700000000000108
130,1,0.0,0.04295000000000072
130,2,0.0,0.03225000000000041
130,4,0.0,0.026850000000000256
130,8,0.0,0.021650000000000107
131,1,0.0,0.06445000000000106
131,2,0.0,0.03225000000000041
131,4,0.0,0.026850000000000256
131,8,0.0,0.021500000000000102
132,1,0.0,0.04295000000000072
132,2,0.0,0.04295000000000072
132,4,0.0,0.026850000000000256
132,8,0.0,0.021500000000000102
133,1,0.0,0.04295000000000072
133,2,0.0,0.03225000000000041
133,4,0.0,0.021500000000000102
133,8,0.0,0.021500000000000102
134,1,0.0,0.04295000000000072
134,2,0.0,0.021500000000000102
134,4,0.0,0.021650000000000107
134,8,0.0,0.021550000000000104
135,1,0.0,0.04295000000000072
135,2,0.0,0.03225000000000041
135,4,0.0,0.021500000000000102
135,8,0.0,0.021500000000000102
136,1,0.0,0.04295000000000072
136,2,0.0,0.03225000000000041
136,4,0.0,0.021500000000000102
136,8,0.0,0.021500000000000102
137,1,0.0,0.0858999999999987
137,2,0.0,0.04295000000000072
137,4,0.0,0.021500000000000102
137,8,0.0,0.021500000000000102
138,1,0.0,0.04295000000000072
138,2,0.0,0.03225000000000041
138,4,0.0,0.026850000000000256
138,8,0.0,0.021500000000000102
139,1,0.0,0.04295000000000072
139,2,0.0,0.03225000000000041
139,4,0.0,0.021500000000000102
139,8,0.0,0.021500000000000102
140,1,0.0,0.04295000000000072
140,2,0.0,0.03225000000000041
140,4,0.0,0.023350000000000155
140,8,0.0,0.023350000000000155
141,1,0.0,0.04295000000000072
141,2,0.0,0.04295000000000072
141,4,0.0,0.021500000000000102
141,8,0.0,0.021500000000000102
142,1,0.0,0.06445000000000106
142,2,0.0,0.03225000000000041
142,4,0.0,0.021500000000000102
142,8,0.0,0.021550000000000104
143,1,0.0,0.04295000000000072
143,2,0.0,0.03225000000000041
143,4,0.0,0.021500000000000102
143,8,0.0,0.021500000000000102
144,1,0.0,0.05595000000000109
144,2,0.0,0.034200000000000466
144,4,0.0,0.024100000000000177
144,8,0.0,0.021900000000000114
145,1,0.0,0.04295000000000072
145,2,0.0,0.04295000000000072
145,4,0.0,0.026850000000000256
145,8,0.0,0.02175000000000011
146,1,0.0,0.04295000000000072
146,2,0.0,0.03225000000000041
146,4,0.0,0.026850000000000256
146,8,0.0,0.021500000000000102
147,1,0.0,0.04295000000000072
147,2,0.0,0.021500000000000102
147,4,0.0,0.021500000000000102
147,8,0.0,0.021500000000000102
148,1,0.0,0.04295000000000072
148,2,0.0,0.03225000000000041
148,4,0.0,0.021500000000000102
148,8,0.0,0.021500000000000102
149,1,0.0,0.04295000000000072
149,2,0.0,0.03225000000000041
149,4,0.0,0.021500000000000102
149,8,0.0,0.021500000000000102
150,1,0.0,0.04295000000000072
150,2,0.0,0.03225000000000041
150,4,0.0,0.021500000000000102
150,8,0.0,0.021500000000000102
151,1,0.0,0.04295000000000072
151,2,0.0,0.03225000000000041
151,4,0.0,0.026850000000000256
151,8,0.0,0.022050000000000118
152,1,0.0,0.04295000000000072
152,2,0.0,0.03225000000000041
152,4,0.0,0.026850000000000256
152,8,0.0,0.021500000000000102
153,1,0.0,0.04295000000000072
153,2,0.0,0.03225000000000041
153,4,0.0,0.03225000000000041
153,8,0.0,0.021500000000000102
154,1,0.0,0.04295000000000072
154,2,0.0,0.03225000000000041
154,4,0.0,0.021500000000000102
154,8,0.0,0.021500000000000102
155,1,0.0,0.06445000000000106
155,2,0.0,0.04295000000000072
155,4,0.0,0.026850000000000256
155,8,0.0,0.02420000000000018
156,1,0.0,0.04295000000000072
156,2,0.0,0.03225000000000041
156,4,0.0,0.021500000000000102
156,8,0.0,0.021500000000000102
157,1,0.0,0.04295000000000072
157,2,0.0,0.03225000000000041
157,4,0.0,0.026850000000000256
157,8,0.0,0.02180000000000011
158,1,0.0,0.04295000000000072
158,2,0.0,0.03225000000000041
158,4,0.0,0.02315000000000015
158,8,0.0,0.02315000000000015
159,1,0.0,0.04295000000000072
159,2,0.0,0.03225000000000041
159,4,0.0,0.026850000000000256
159,8,0.0,0.021500000000000102
160,1,0.0,0.04295000000000072
160,2,0.0,0.021500000000000102
160,4,0.0,0.021500000000000102
160,8,0.0,0.021500000000000102
161,1,0.0,0.06445000000000106
161,2,0.0,0.03225000000000041
161,4,0.0,0.026850000000000256
161,8,0.0,0.021700000000000108
162,1,0.0,0.04295000000000072
162,2,0.0,0.03225000000000041
162,4,0.0,0.026850000000000256
162,8,0.0,0.021850000000000112
