fabric,P,k,n,speedup_mean,ci_low,ci_high,speedup_min,speedup_max,mean_max_top_contention,mean_top_used,mean_equal_split_gap,mean_opt_speedup
3tier_os2,16,32,100,2.2694444444444435,2.1495023148148116,2.4087962962962974,1.9907407407407356,3.981481481481504,5.35,664.69,0.005828380584715909,2.2826716303825347
3tier_os4,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.001008786261088228,1.0010087862610881
3tier_os4,16,2,100,1.5930387596899336,1.496402519379854,1.6896744186046635,1.0,2.0000000000000164,1.56,59.14,0.16134760901332101,1.805023445437365
3tier_os4,16,4,100,2.1650862473100445,2.0319824566070337,2.3048006184617464,1.3312693498452117,3.995348837209383,2.17,115.11,0.5299301594495724,3.2596057280898343
3tier_os4,16,8,100,3.324289692793601,3.1120651952340195,3.549644806919361,2.0000000000000164,7.953703703703844,2.81,219.31,0.30130598942438447,4.230424140890472
3tier_os4,16,16,100,4.4075987654321365,4.158525000000032,4.685599228395109,3.1851851851852064,7.953703703703844,3.75,397.78,0.0323885362595309,4.540189014126892
3tier_os4,16,32,100,4.537592592592631,4.298266203703736,4.815648148148195,3.981481481481504,7.953703703703844,5.35,664.69,0.005828380584715909,4.5640394091606495
2tier,16,1,100,1.0,1.0,1.0,1.0,1.0,1.67,29.2,0.0027084499597524194,1.0027084499597525
2tier,16,2,100,1.3720061728395043,1.2827762345679001,1.4581790123456768,0.6666666666666679,1.9907407407407356,2.52,52.24,0.025595702230928538,1.401384361088272
2tier,16,4,100,1.6027283950617255,1.5129606481481455,1.6912967592592556,0.8000000000000008,1.9907407407407356,3.88,87.59,0.019029878079890122,1.6310966263214701
2tier,16,8,100,1.6616574839302078,1.5703520048974564,1.752962962962959,1.0,1.9907407407407356,6.01,129.12,0.0062565302683238525,1.6721030179825047
2tier,16,16,100,1.6637962962962929,1.5746296296296265,1.752962962962959,1.0,1.9907407407407356,9.69,161.19,0.005828380584715909,1.6734935343265487
2tier,16,32,100,1.6637962962962929,1.5746296296296265,1.752962962962959,1.0,1.9907407407407356,16.47,174.07,0.005828380584715909,1.6734935343265487
3tier_nb,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,0.0012959440549181655,1.001295944054918
3tier_nb,64,2,100,1.3779566166841162,1.3277379184023932,1.4306640173407308,0.6666666666666679,1.993827160493826,2.4,226.74,0.02292746305465437,1.4121675242980274
3tier_nb,64,4,100,1.8655679012345638,1.8057455246913543,1.9286243827160452,0.8000000000000008,2.9907407407407343,3.2,424.56,0.03348866105079515,1.9196669260660744
3tier_nb,64,8,100,2.0158616467707327,1.970324456688088,2.067907866544225,1.0,2.9907407407407343,4.44,747.04,0.00976451196604212,2.0346048081086674
3tier_nb,64,16,100,2.0308333333333284,1.9908333333333283,2.080833333333328,1.0,2.9907407407407343,6.39,1187.66,0.005828380584715909,2.0426698029041224
