fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_os4,16,7,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,198,3
3tier_os4,16,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,360,4
3tier_os4,16,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,612,5
2tier,16,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,27,2
2tier,16,7,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,42,3
2tier,16,7,4,0.006749999999999987,0.006316128376470588,0.0686926543712596,10625000000.0,73,5
2tier,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,114,7
2tier,16,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,151,9
2tier,16,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,160,17
3tier_nb,64,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,106,2
3tier_nb,64,7,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,206,3
3tier_nb,64,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,384,3
3tier_nb,64,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,709,4
3tier_nb,64,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1147,7
3tier_nb,64,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1641,9
3tier_os2,64,7,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,106,2
3tier_os2,64,7,2,0.01614999999999995,0.01073741824,0.5040859580039931,6250000000.0,206,3
3tier_os2,64,7,4,0.008099999999999979,0.007158278826666666,0.1315569281578035,9375000000.0,384,3
3tier_os2,64,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,709,4
3tier_os2,64,7,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1147,7
3tier_os2,64,7,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1641,9
3tier_os4,64,7,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,106,2
3tier_os4,64,7,2,0.03225000000000041,0.02147483648,0.5017576515674782,3125000000.0,206,3
3tier_os4,64,7,4,0.01614999999999995,0.014316557653333332,0.1280644685029948,4687500000.0,384,3
3tier_os4,64,7,8,0.010749999999999963,0.006964811831351352,0.5434731418887719,9635416666.666666,709,4
3tier_os4,64,7,16,0.009399999999999971,0.005918262022047244,0.5883041279656498,11339285714.285715,1147,7
3tier_os4,64,7,32,0.006049999999999991,0.005425221847578947,0.11516177033384478,12369791666.666668,1641,9
2tier,64,7,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,97,3
2tier,64,7,2,0.013449999999999946,0.0134217728,0.002103090286250886,5000000000.0,160,5
2tier,64,7,4,0.009399999999999971,0.007297274532038835,0.28815216677529065,9196428571.428572,218,7
2tier,64,7,8,0.008749999999999975,0.006646973196190476,0.3163886391199515,10096153846.153847,247,13
2tier,64,7,16,0.007049999999999985,0.005992977622325583,0.17637682706117364,11197916666.666664,253,21
2tier,64,7,32,0.005749999999999993,0.00544883910686567,0.05527065256062569,12316176470.588238,256,34
3tier_nb,16,1,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,1,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,59,2
3tier_nb,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_nb,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,221,3
3tier_nb,16,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,375,3
3tier_nb,16,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,598,6
3tier_os2,16,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,1,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,59,2
3tier_os2,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_os2,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,221,3
3tier_os2,16,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,375,3
3tier_os2,16,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,598,6
3tier_os4,16,1,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,1,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,59,2
3tier_os4,16,1,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,115,2
3tier_os4,16,1,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,221,3
3tier_os4,16,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,375,3
3tier_os4,16,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,598,6
2tier,16,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,29,2
2tier,16,1,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,49,3
2tier,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,83,4
2tier,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,118,5
2tier,16,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,139,10
2tier,16,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,144,16
3tier_nb,64,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,120,2
3tier_nb,64,1,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,234,2
3tier_nb,64,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,446,3
3tier_nb,64,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,767,4
3tier_nb,64,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1181,7
3tier_nb,64,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1649,10
3tier_os2,64,1,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,120,2
3tier_os2,64,1,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,234,2
3tier_os2,64,1,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,446,3
3tier_os2,64,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,767,4
3tier_os2,64,1,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1181,7
3tier_os2,64,1,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1649,10
3tier_os4,64,1,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,120,2
3tier_os4,64,1,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,234,2
3tier_os4,64,1,4,0.01614999999999995,0.00920350134857143,0.7547669510046584,7291666666.666666,446,3
