seed,k,t_equal,t_prop
68,32,0.006749999999999987,0.005449999999999995
69,1,0.04295000000000072,0.04295000000000072
69,2,0.03225000000000041,0.026900000000000257
69,4,0.01614999999999995,0.009899999999999968
69,8,0.010749999999999963,0.007449999999999983
69,16,0.009399999999999971,0.005849999999999992
69,32,0.005399999999999995,0.005399999999999995
70,1,0.04295000000000072,0.04295000000000072
70,2,0.021500000000000102,0.01795
70,4,0.01614999999999995,0.010749999999999963
70,8,0.010749999999999963,0.0076499999999999815
70,16,0.009399999999999971,0.005949999999999992
70,32,0.006749999999999987,0.0054999999999999945
71,1,0.04295000000000072,0.04295000000000072
71,2,0.03225000000000041,0.021500000000000102
71,4,0.021500000000000102,0.009199999999999972
71,8,0.010749999999999963,0.006899999999999986
71,16,0.009399999999999971,0.005849999999999992
71,32,0.006049999999999991,0.005449999999999995
75,1,0.04295000000000072,0.04295000000000072
75,2,0.03225000000000041,0.01614999999999995
75,4,0.01614999999999995,0.009249999999999972
75,8,0.010749999999999963,0.006599999999999988
75,16,0.006749999999999987,0.005749999999999993
75,32,0.006749999999999987,0.005549999999999994
73,1,0.04295000000000072,0.04295000000000072
73,2,0.03225000000000041,0.026900000000000257
73,4,0.01614999999999995,0.00944999999999997
73,8,0.013449999999999946,0.007199999999999984
73,16,0.010749999999999963,0.00619999999999999
73,32,0.006749999999999987,0.005649999999999994
74,1,0.04295000000000072,0.04295000000000072
74,2,0.021500000000000102,0.01795
74,4,0.01614999999999995,0.009249999999999972
74,8,0.013449999999999946,0.0066499999999999875
74,16,0.008099999999999979,0.005949999999999992
74,32,0.006049999999999991,0.005449999999999995
72,1,0.04295000000000072,0.04295000000000072
72,2,0.03225000000000041,0.028650000000000307
72,4,0.01614999999999995,0.00954999999999997
72,8,0.010749999999999963,0.007249999999999984
72,16,0.008099999999999979,0.005949999999999992
72,32,0.006749999999999987,0.005449999999999995
78,1,0.04295000000000072,0.04295000000000072
78,2,0.021500000000000102,0.021500000000000102
78,4,0.01614999999999995,0.009699999999999969
78,8,0.010749999999999963,0.006699999999999987
78,16,0.008099999999999979,0.005749999999999993
78,32,0.006049999999999991,0.0054999999999999945
76,1,0.04295000000000072,0.04295000000000072
76,2,0.021500000000000102,0.01795
76,4,0.01614999999999995,0.010199999999999966
76,8,0.010749999999999963,0.007449999999999983
76,16,0.006749999999999987,0.005749999999999993
76,32,0.005399999999999995,0.005399999999999995
77,1,0.04295000000000072,0.04295000000000072
