arm_id,family,policy,fabric,ring_size,k,n_pairs,ratio_mean,ratio_mean_ci_low,ratio_mean_ci_high,ratio_geometric_mean,ratio_geometric_ci_low,ratio_geometric_ci_high,ratio_median,ratio_min,ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference
proportional_3tier_nb_p16_k2,static_split,proportional,3tier_nb,16,2,100,0.9977806868935778,0.9957585091637148,0.9994039735099338,0.9977357100626896,0.9956709636302123,0.9993926282981501,1.0,0.9536423841059605,1.0,7,93,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_nb_p16_k4,static_split,proportional,3tier_nb,16,4,100,0.9962737211805358,0.9903172265337337,1.0,0.9958645888069035,0.9892468347510261,1.0,1.0,0.776978417266188,1.0,2,98,0,pointwise_95pct_CI_includes_one
proportional_3tier_nb_p16_k8,static_split,proportional,3tier_nb,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_nb_p64_k16,static_split,proportional,3tier_nb,64,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_nb_p64_k2,static_split,proportional,3tier_nb,64,2,100,0.9741434052686166,0.9671797834392374,0.9804889480226725,0.9735216333002584,0.9662370627957537,0.980135812772667,0.9933774834437087,0.8372093023255821,1.0,84,16,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_nb_p64_k4,static_split,proportional,3tier_nb,64,4,100,0.9530717619804964,0.9387557933669544,0.9666037016874377,0.9502891523771866,0.9354482453674378,0.9644831517018994,1.0,0.776978417266188,1.0,36,64,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_nb_p64_k8,static_split,proportional,3tier_nb,64,8,100,0.9960729486211716,0.9929987833866019,0.998588728458314,0.9959637336620796,0.992825442500767,0.9985552406266784,1.0,0.931034482758621,1.0,7,93,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os2_p16_k16,static_split,proportional,3tier_os2,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_os2_p16_k2,static_split,proportional,3tier_os2,16,2,100,0.9989583333333333,0.996875,1.0,0.9989005958359264,0.9967054122474887,1.0,1.0,0.8958333333333313,1.0,1,99,0,pointwise_95pct_CI_includes_one
proportional_3tier_os2_p16_k4,static_split,proportional,3tier_os2,16,4,100,0.9663400423728814,0.9518750000000002,0.9798675847457627,0.9633326341119243,0.9478048778041511,0.9779522222008038,1.0,0.750000000000001,1.0,19,81,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os2_p16_k8,static_split,proportional,3tier_os2,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_os2_p64_k16,static_split,proportional,3tier_os2,64,16,100,0.9999082568807338,0.9997247706422019,1.0,0.9999078376961569,0.9997235385693585,1.0,1.0,0.9908256880733946,1.0,1,99,0,pointwise_95pct_CI_includes_one
proportional_3tier_os2_p64_k2,static_split,proportional,3tier_os2,64,2,100,0.9958112386589063,0.9925397780124992,0.9983903883029538,0.995693940996716,0.9923160066182906,0.9983605190238234,1.0,0.8958333333333313,1.0,11,89,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os2_p64_k4,static_split,proportional,3tier_os2,64,4,100,0.8938843592205141,0.8807322804368449,0.9069526804056423,0.8913697758333257,0.8781600853279643,0.9046249611824284,0.9067257821649661,0.7439024390243911,1.0,99,1,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os2_p64_k8,static_split,proportional,3tier_os2,64,8,100,0.9753513713722307,0.9687274364291022,0.9816284647586232,0.9747836713780824,0.968044691564809,0.9811684184034114,1.0,0.8780487804878054,1.0,41,59,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os4_p16_k16,static_split,proportional,3tier_os4,16,16,100,0.9952083044852025,0.9924695214252446,0.9976056695793537,0.9951176502185505,0.9923317097054554,0.9975566264161243,1.0,0.9473684210526319,1.0,12,88,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os4_p16_k2,static_split,proportional,3tier_os4,16,2,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_os4_p16_k4,static_split,proportional,3tier_os4,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_os4_p16_k8,static_split,proportional,3tier_os4,16,8,100,0.9309177375987567,0.9221680056126043,0.9398927580150213,0.929850499681166,0.9212009122052476,0.9387749271402069,0.9230769230769235,0.8244274809160312,1.0,76,24,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os4_p64_k16,static_split,proportional,3tier_os4,64,16,100,0.9162881868105893,0.9118138495432297,0.9207163930337458,0.9160057648568843,0.9114893833565207,0.9204829043703139,0.915254237288136,0.8503937007874022,0.9473684210526319,100,0,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os4_p64_k2,static_split,proportional,3tier_os4,64,2,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_3tier_os4_p64_k4,static_split,proportional,3tier_os4,64,4,100,0.9962055439982723,0.9937713349084786,0.9982648149410426,0.9961351644606479,0.9936370974616068,0.9982381130806813,1.0,0.9242424242424244,1.0,15,85,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_os4_p64_k8,static_split,proportional,3tier_os4,64,8,100,0.8973950334069621,0.8873633252695606,0.9070964353733348,0.8959474064559774,0.8857143357031537,0.9058275869050411,0.9025167084377614,0.7200000000000011,0.9712230215827339,100,0,0,maxmin_faster_pointwise_95pct_CI
