fabric,ring_size,k,n_pairs,legacy_prop_advantage_mean,legacy_prop_advantage_mean_ci_low,legacy_prop_advantage_mean_ci_high,maxmin_prop_advantage_mean,maxmin_prop_advantage_mean_ci_low,maxmin_prop_advantage_mean_ci_high,amplification_geometric_mean,amplification_geometric_ci_low,amplification_geometric_ci_high,amplification_mean,amplification_mean_ci_low,amplification_mean_ci_high,amplification_gt_one_count,amplification_equal_one_count,amplification_lt_one_count,inference
3tier_nb,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_nb,64,2,100,1.0819701524055834,1.070324094145154,1.0945713213931894,1.113667080571784,1.095149993959107,1.1340164867015872,1.0271985396051029,1.0204285701404237,1.0349340972755003,1.0278940901041775,1.0207962928153715,1.0359851407632328,84,16,0,masking_supported_pointwise_95pct_CI
3tier_nb,64,4,100,1.03267155677976,1.023231495677716,1.0427694348374503,1.0938953488372087,1.0668604651162787,1.1226453488372088,1.0523112859895956,1.0368681309740915,1.068605740247319,1.0555889319552108,1.0393375322997416,1.0726550387596896,36,64,0,masking_supported_pointwise_95pct_CI
3tier_nb,64,8,100,1.0040261739181644,1.0014761040532365,1.0071902788708116,1.0084259259259258,1.0024074074074074,1.0144444444444445,1.0040526238069727,1.0014302010430527,1.0072072894816553,1.0041666666666667,1.0014814814814814,1.0074074074074073,7,93,0,masking_supported_pointwise_95pct_CI
3tier_nb,64,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os2,16,2,100,1.1679840039449751,1.1241566174779607,1.2122288572165796,1.1694720991830705,1.1266573019518031,1.214160876161637,1.0011006141838905,1.0,1.0033054779396475,1.0011627906976743,1.0,1.0034883720930232,1,99,0,pointwise_95pct_CI_includes_one
3tier_os2,16,4,100,1.0481906191148773,1.0285031191148775,1.070131238229755,1.0999074074074067,1.0599999999999996,1.1447222222222215,1.0380630371998956,1.0224711415537182,1.0556086842285657,1.0416666666666663,1.0246296296296293,1.0605555555555553,19,81,0,masking_supported_pointwise_95pct_CI
3tier_os2,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os2,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os2,64,2,100,1.2096052827907964,1.167256833211584,1.2544647144590797,1.215303464755261,1.1725502741320306,1.2603518882322506,1.0043246813362885,1.0016664714590104,1.0077331482425207,1.0044487081541134,1.0016933561556993,1.0079858875612708,11,89,0,masking_supported_pointwise_95pct_CI
