fabric,P,seed,k,t_prop
2tier,16,20,8,0.005399999999999995
2tier,16,20,16,0.005399999999999995
2tier,16,21,2,0.005399999999999995
2tier,16,21,4,0.005399999999999995
2tier,16,21,8,0.005399999999999995
2tier,16,21,16,0.005399999999999995
2tier,16,22,2,0.007549999999999982
2tier,16,22,4,0.005399999999999995
2tier,16,22,8,0.005399999999999995
2tier,16,22,16,0.005399999999999995
2tier,16,23,2,0.005399999999999995
2tier,16,23,4,0.005399999999999995
2tier,16,23,8,0.005399999999999995
2tier,16,23,16,0.005399999999999995
2tier,16,24,2,0.007549999999999982
2tier,16,24,4,0.005399999999999995
2tier,16,24,8,0.005399999999999995
2tier,16,24,16,0.005399999999999995
2tier,16,25,2,0.005399999999999995
2tier,16,25,4,0.005399999999999995
2tier,16,25,8,0.005399999999999995
2tier,16,25,16,0.005399999999999995
2tier,16,26,2,0.005399999999999995
2tier,16,26,4,0.005399999999999995
2tier,16,26,8,0.005399999999999995
2tier,16,26,16,0.005399999999999995
2tier,16,27,2,0.005399999999999995
2tier,16,27,4,0.005399999999999995
2tier,16,27,8,0.005399999999999995
2tier,16,27,16,0.005399999999999995
2tier,16,28,2,0.005399999999999995
2tier,16,28,4,0.005399999999999995
2tier,16,28,8,0.005399999999999995
2tier,16,28,16,0.005399999999999995
2tier,16,29,2,0.005399999999999995
2tier,16,29,4,0.005399999999999995
2tier,16,29,8,0.005399999999999995
2tier,16,29,16,0.005399999999999995
2tier,16,30,2,0.005399999999999995
2tier,16,30,4,0.005399999999999995
2tier,16,30,8,0.005399999999999995
2tier,16,30,16,0.005399999999999995
2tier,16,31,2,0.005399999999999995
2tier,16,31,4,0.005399999999999995
2tier,16,31,8,0.005399999999999995
2tier,16,31,16,0.005399999999999995
2tier,16,32,2,0.005399999999999995
2tier,16,32,4,0.005399999999999995
2tier,16,32,8,0.005399999999999995
2tier,16,32,16,0.005399999999999995
2tier,16,33,2,0.005399999999999995
2tier,16,33,4,0.005399999999999995
2tier,16,33,8,0.005399999999999995
2tier,16,33,16,0.005399999999999995
2tier,16,34,2,0.007549999999999982
2tier,16,34,4,0.005399999999999995
2tier,16,34,8,0.005399999999999995
2tier,16,34,16,0.005399999999999995
2tier,16,35,2,0.007549999999999982
2tier,16,35,4,0.005399999999999995
2tier,16,35,8,0.005399999999999995
2tier,16,35,16,0.005399999999999995
2tier,16,36,2,0.006449999999999989
2tier,16,36,4,0.006349999999999989
2tier,16,36,8,0.005399999999999995
2tier,16,36,16,0.005399999999999995
2tier,16,37,2,0.005399999999999995
2tier,16,37,4,0.005399999999999995
2tier,16,37,8,0.005399999999999995
2tier,16,37,16,0.005399999999999995
2tier,16,38,2,0.008999999999999973
2tier,16,38,4,0.006549999999999988
2tier,16,38,8,0.005399999999999995
2tier,16,38,16,0.005399999999999995
2tier,16,39,2,0.005399999999999995
2tier,16,39,4,0.005399999999999995
2tier,16,39,8,0.005399999999999995
2tier,16,39,16,0.005399999999999995
2tier,16,40,2,0.005399999999999995
2tier,16,40,4,0.005399999999999995
2tier,16,40,8,0.005399999999999995
2tier,16,40,16,0.005399999999999995
2tier,16,41,2,0.006449999999999989
2tier,16,41,4,0.00624999999999999
2tier,16,41,8,0.005399999999999995
2tier,16,41,16,0.005399999999999995
2tier,16,42,2,0.005399999999999995
2tier,16,42,4,0.005399999999999995
2tier,16,42,8,0.005399999999999995
2tier,16,42,16,0.005399999999999995
2tier,16,43,2,0.007549999999999982
2tier,16,43,4,0.005399999999999995
2tier,16,43,8,0.005399999999999995
2tier,16,43,16,0.005399999999999995
2tier,16,44,2,0.007549999999999982
2tier,16,44,4,0.005399999999999995
2tier,16,44,8,0.005399999999999995
2tier,16,44,16,0.005399999999999995
2tier,16,45,2,0.005399999999999995
2tier,16,45,4,0.005399999999999995
2tier,16,45,8,0.005399999999999995
2tier,16,45,16,0.005399999999999995
2tier,16,46,2,0.007549999999999982
2tier,16,46,4,0.005399999999999995
2tier,16,46,8,0.005399999999999995
2tier,16,46,16,0.005399999999999995
2tier,16,47,2,0.007549999999999982
2tier,16,47,4,0.005399999999999995
2tier,16,47,8,0.005399999999999995
2tier,16,47,16,0.005399999999999995
2tier,16,48,2,0.005399999999999995
2tier,16,48,4,0.005399999999999995
2tier,16,48,8,0.005399999999999995
2tier,16,48,16,0.005399999999999995
2tier,16,49,2,0.007549999999999982
2tier,16,49,4,0.005399999999999995
2tier,16,49,8,0.005399999999999995
2tier,16,49,16,0.005399999999999995
2tier,16,50,2,0.005399999999999995
2tier,16,50,4,0.005399999999999995
2tier,16,50,8,0.005399999999999995
2tier,16,50,16,0.005399999999999995
2tier,16,51,2,0.007549999999999982
2tier,16,51,4,0.005399999999999995
2tier,16,51,8,0.005399999999999995
2tier,16,51,16,0.005399999999999995
2tier,16,52,2,0.006449999999999989
2tier,16,52,4,0.005399999999999995
2tier,16,52,8,0.005399999999999995
2tier,16,52,16,0.005399999999999995
2tier,16,53,2,0.005399999999999995
2tier,16,53,4,0.006349999999999989
2tier,16,53,8,0.005399999999999995
2tier,16,53,16,0.005399999999999995
2tier,16,54,2,0.005399999999999995
2tier,16,54,4,0.005399999999999995
2tier,16,54,8,0.005399999999999995
2tier,16,54,16,0.005399999999999995
2tier,16,55,2,0.005399999999999995
2tier,16,55,4,0.005399999999999995
2tier,16,55,8,0.005399999999999995
2tier,16,55,16,0.005399999999999995
2tier,16,56,2,0.007549999999999982
2tier,16,56,4,0.005399999999999995
2tier,16,56,8,0.005399999999999995
2tier,16,56,16,0.005399999999999995
2tier,16,57,2,0.005399999999999995
2tier,16,57,4,0.006849999999999986
2tier,16,57,8,0.005399999999999995
2tier,16,57,16,0.005399999999999995
2tier,16,58,2,0.005399999999999995
2tier,16,58,4,0.005399999999999995
