fabric,P,seed,k,t_prop
2tier,16,12,32,0.005399999999999995
3tier_nb,64,12,2,0.007549999999999982
3tier_nb,64,12,4,0.005399999999999995
3tier_nb,64,12,8,0.005399999999999995
3tier_nb,64,12,16,0.005399999999999995
3tier_nb,64,12,32,0.005399999999999995
3tier_os2,64,12,2,0.014349999999999941
3tier_os2,64,12,4,0.006849999999999986
3tier_os2,64,12,8,0.005399999999999995
3tier_os2,64,12,16,0.005399999999999995
3tier_os2,64,12,32,0.005399999999999995
3tier_os4,64,12,2,0.028650000000000307
3tier_os4,64,12,4,0.00964999999999997
3tier_os4,64,12,8,0.006499999999999988
3tier_os4,64,12,16,0.005749999999999993
3tier_os4,64,12,32,0.005549999999999994
2tier,64,12,2,0.009849999999999968
2tier,64,12,4,0.007499999999999982
2tier,64,12,8,0.006349999999999989
2tier,64,12,16,0.005899999999999992
2tier,64,12,32,0.005649999999999994
3tier_nb,16,10,2,0.005399999999999995
3tier_nb,16,10,4,0.005399999999999995
3tier_nb,16,10,8,0.005399999999999995
3tier_nb,16,10,16,0.005399999999999995
3tier_nb,16,10,32,0.005399999999999995
3tier_os2,16,10,2,0.010749999999999963
3tier_os2,16,10,4,0.007199999999999984
3tier_os2,16,10,8,0.005399999999999995
3tier_os2,16,10,16,0.005399999999999995
3tier_os2,16,10,32,0.005399999999999995
3tier_os4,16,10,2,0.021500000000000102
3tier_os4,16,10,4,0.010749999999999963
3tier_os4,16,10,8,0.0061499999999999905
3tier_os4,16,10,16,0.005399999999999995
3tier_os4,16,10,32,0.005399999999999995
2tier,16,10,2,0.007549999999999982
2tier,16,10,4,0.005399999999999995
2tier,16,10,8,0.005399999999999995
2tier,16,10,16,0.005399999999999995
2tier,16,10,32,0.005399999999999995
3tier_nb,64,10,2,0.005399999999999995
3tier_nb,64,10,4,0.005399999999999995
3tier_nb,64,10,8,0.005399999999999995
3tier_nb,64,10,16,0.005399999999999995
3tier_nb,64,10,32,0.005399999999999995
3tier_os2,64,10,2,0.010749999999999963
3tier_os2,64,10,4,0.006399999999999989
3tier_os2,64,10,8,0.005399999999999995
3tier_os2,64,10,16,0.005399999999999995
3tier_os2,64,10,32,0.005399999999999995
3tier_os4,64,10,2,0.021500000000000102
3tier_os4,64,10,4,0.010649999999999963
3tier_os4,64,10,8,0.006799999999999987
3tier_os4,64,10,16,0.005749999999999993
3tier_os4,64,10,32,0.005549999999999994
2tier,64,10,2,0.008999999999999973
2tier,64,10,4,0.006949999999999986
2tier,64,10,8,0.0061499999999999905
2tier,64,10,16,0.005799999999999993
2tier,64,10,32,0.005699999999999993
3tier_nb,16,14,2,0.005399999999999995
3tier_nb,16,14,4,0.005399999999999995
3tier_nb,16,14,8,0.005399999999999995
3tier_nb,16,14,16,0.005399999999999995
3tier_nb,16,14,32,0.005399999999999995
3tier_os2,16,14,2,0.010749999999999963
3tier_os2,16,14,4,0.007199999999999984
3tier_os2,16,14,8,0.005399999999999995
3tier_os2,16,14,16,0.005399999999999995
3tier_os2,16,14,32,0.005399999999999995
3tier_os4,16,14,2,0.021500000000000102
3tier_os4,16,14,4,0.010749999999999963
3tier_os4,16,14,8,0.0061499999999999905
