run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
5,40048883,4,8,0.0,0.021500000000000102
5,40048883,4,8,0.1,0.021500000000000102
5,40048883,4,8,0.3,0.021500000000000102
5,40048883,4,8,0.5,0.021500000000000102
5,40048883,2,32,0.0,0.021500000000000102
5,40048883,2,32,0.1,0.03430000000000047
5,40048883,2,32,0.3,0.02625000000000024
5,40048883,2,32,0.5,0.041500000000000675
5,40048883,2,64,0.0,0.021500000000000102
5,40048883,2,64,0.1,0.035600000000000506
5,40048883,2,64,0.3,0.0355000000000005
5,40048883,2,64,0.5,0.041500000000000675
5,40048883,4,16,0.0,0.021500000000000102
5,40048883,4,16,0.1,0.02765000000000028
5,40048883,4,16,0.3,0.02530000000000021
5,40048883,4,16,0.5,0.03430000000000047
5,40048883,4,32,0.0,0.021500000000000102
5,40048883,4,32,0.1,0.02600000000000023
5,40048883,4,32,0.3,0.02530000000000021
5,40048883,4,32,0.5,0.03860000000000059
5,40048883,8,8,0.0,0.021500000000000102
5,40048883,8,8,0.1,0.021500000000000102
5,40048883,8,8,0.3,0.021500000000000102
5,40048883,8,8,0.5,0.021500000000000102
5,40048883,8,16,0.0,0.021500000000000102
5,40048883,8,16,0.1,0.02455000000000019
5,40048883,8,16,0.3,0.022400000000000128
5,40048883,8,16,0.5,0.04130000000000067
5,40048883,4,64,0.0,0.021500000000000102
5,40048883,4,64,0.1,0.03645000000000053
5,40048883,4,64,0.3,0.032050000000000405
5,40048883,4,64,0.5,0.03235000000000041
5,40048883,8,4,0.0,0.021500000000000102
5,40048883,8,4,0.1,0.021500000000000102
5,40048883,8,4,0.3,0.021500000000000102
5,40048883,8,4,0.5,0.021500000000000102
6,50048884,1,4,0.0,0.021500000000000102
6,50048884,1,4,0.1,0.021500000000000102
6,50048884,1,4,0.3,0.021500000000000102
6,50048884,1,4,0.5,0.021500000000000102
6,50048884,1,8,0.0,0.021500000000000102
6,50048884,1,8,0.1,0.021500000000000102
6,50048884,1,8,0.3,0.021500000000000102
6,50048884,1,8,0.5,0.021500000000000102
6,50048884,2,8,0.0,0.021500000000000102
6,50048884,2,8,0.1,0.021500000000000102
6,50048884,2,8,0.3,0.021500000000000102
6,50048884,2,8,0.5,0.021500000000000102
6,50048884,2,16,0.0,0.021500000000000102
6,50048884,2,16,0.1,0.022250000000000124
6,50048884,2,16,0.3,0.02525000000000021
6,50048884,2,16,0.5,0.033100000000000435
6,50048884,1,64,0.0,0.021500000000000102
6,50048884,1,64,0.1,0.05500000000000106
6,50048884,1,64,0.3,0.07449999999999996
6,50048884,1,64,0.5,0.07814999999999955
6,50048884,2,4,0.0,0.021500000000000102
6,50048884,2,4,0.1,0.021500000000000102
6,50048884,2,4,0.3,0.021500000000000102
6,50048884,2,4,0.5,0.021500000000000102
6,50048884,1,16,0.0,0.021500000000000102
6,50048884,1,16,0.1,0.03955000000000062
6,50048884,1,16,0.3,0.021500000000000102
6,50048884,1,16,0.5,0.07559999999999983
6,50048884,1,32,0.0,0.021500000000000102
6,50048884,1,32,0.1,0.04210000000000069
6,50048884,1,32,0.3,0.07759999999999961
6,50048884,1,32,0.5,0.07559999999999983
5,40048883,8,32,0.0,0.021500000000000102
5,40048883,8,32,0.1,0.024800000000000197
5,40048883,8,32,0.3,0.02250000000000013
5,40048883,8,32,0.5,0.02770000000000028
5,40048883,8,64,0.0,0.021500000000000102
5,40048883,8,64,0.1,0.02420000000000018
5,40048883,8,64,0.3,0.027150000000000264
5,40048883,8,64,0.5,0.03250000000000042
6,50048884,4,4,0.0,0.021500000000000102
6,50048884,4,4,0.1,0.021500000000000102
6,50048884,4,4,0.3,0.021500000000000102
6,50048884,4,4,0.5,0.021500000000000102
6,50048884,4,8,0.0,0.021500000000000102
6,50048884,4,8,0.1,0.021500000000000102
6,50048884,4,8,0.3,0.021500000000000102
6,50048884,4,8,0.5,0.021500000000000102
6,50048884,2,32,0.0,0.021500000000000102
6,50048884,2,32,0.1,0.03125000000000038
6,50048884,2,32,0.3,0.026500000000000246
6,50048884,2,32,0.5,0.039750000000000625
6,50048884,2,64,0.0,0.021500000000000102
6,50048884,2,64,0.1,0.032750000000000425
6,50048884,2,64,0.3,0.047400000000000844
6,50048884,2,64,0.5,0.050200000000000924
6,50048884,4,16,0.0,0.021500000000000102
6,50048884,4,16,0.1,0.029300000000000326
6,50048884,4,16,0.3,0.02530000000000021
6,50048884,4,16,0.5,0.03150000000000039
6,50048884,4,32,0.0,0.021500000000000102
6,50048884,4,32,0.1,0.02705000000000026
6,50048884,4,32,0.3,0.03915000000000061
6,50048884,4,32,0.5,0.0389500000000006
6,50048884,8,8,0.0,0.021500000000000102
6,50048884,8,8,0.1,0.021500000000000102
6,50048884,8,8,0.3,0.021500000000000102
6,50048884,8,8,0.5,0.021500000000000102
6,50048884,8,16,0.0,0.021500000000000102
6,50048884,8,16,0.1,0.021950000000000115
6,50048884,8,16,0.3,0.02355000000000016
6,50048884,8,16,0.5,0.02870000000000031
6,50048884,4,64,0.0,0.021500000000000102
6,50048884,4,64,0.1,0.034150000000000465
6,50048884,4,64,0.3,0.03790000000000057
6,50048884,4,64,0.5,0.034850000000000485
6,50048884,8,4,0.0,0.021500000000000102
6,50048884,8,4,0.1,0.021500000000000102
6,50048884,8,4,0.3,0.021500000000000102
6,50048884,8,4,0.5,0.021500000000000102
7,60048885,1,4,0.0,0.021500000000000102
7,60048885,1,4,0.1,0.021500000000000102
7,60048885,1,4,0.3,0.021500000000000102
7,60048885,1,4,0.5,0.021500000000000102
7,60048885,1,8,0.0,0.021500000000000102
7,60048885,1,8,0.1,0.021500000000000102
7,60048885,1,8,0.3,0.021500000000000102
7,60048885,1,8,0.5,0.021500000000000102
7,60048885,1,16,0.0,0.021500000000000102
7,60048885,1,16,0.1,0.021500000000000102
7,60048885,1,16,0.3,0.04330000000000073
7,60048885,1,16,0.5,0.04910000000000089
7,60048885,1,32,0.0,0.021500000000000102
7,60048885,1,32,0.1,0.03265000000000042
7,60048885,1,32,0.3,0.051650000000000966
7,60048885,1,32,0.5,0.04610000000000081
7,60048885,2,8,0.0,0.021500000000000102
7,60048885,2,8,0.1,0.021500000000000102
7,60048885,2,8,0.3,0.021500000000000102
7,60048885,2,8,0.5,0.021500000000000102
7,60048885,2,16,0.0,0.021500000000000102
7,60048885,2,16,0.1,0.021500000000000102
7,60048885,2,16,0.3,0.031400000000000386
7,60048885,2,16,0.5,0.03330000000000044
7,60048885,1,64,0.0,0.021500000000000102
7,60048885,1,64,0.1,0.05610000000000109
7,60048885,1,64,0.3,0.04160000000000068
7,60048885,1,64,0.5,0.06475000000000103
7,60048885,2,4,0.0,0.021500000000000102
7,60048885,2,4,0.1,0.021500000000000102
