ring_size,k,affected_fraction,T_mean,T_ci_low,T_ci_high,T_min,T_max,speedup,speedup_ci_low,speedup_ci_high,speedup_low,speedup_high,n_seeds,total_qps,total_qps_std,experiment,method,k_mean,k_mean_std,k_max,msg_bytes,p99_step
64,1.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
64,1.0,0.1,0.04301080000000056,0.04210994625000056,0.04394000500000057,0.0215000000000001,0.0932499999999978,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
64,1.0,0.3,0.05948630000000054,0.058619452500000585,0.0603210950000005,0.0215000000000001,0.0984499999999973,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
64,1.0,0.5,0.06937885000000017,0.06869174500000022,0.07006049250000015,0.0365000000000005,0.0979499999999973,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
64,2.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,128.0,0.0,static,,,,,,
64,2.0,0.1,0.03190210000000036,0.031582132500000346,0.03220753875000037,0.0215000000000001,0.0501000000000009,1.354691409431805,1.3270162520514361,1.381697307824803,0.4291417165668605,3.538899430739928,1000,128.0,0.0,static,,,,,,
64,2.0,0.3,0.03854510000000055,0.03826456750000054,0.038831312500000555,0.0262500000000002,0.0508500000000009,1.5521335714611775,1.5306109151312517,1.5742380326353171,0.47200878155872156,2.605633802816834,1000,128.0,0.0,static,,,,,,
64,2.0,0.5,0.04241665000000066,0.04218613750000065,0.04263320750000067,0.0304500000000003,0.0510500000000009,1.6447822798996936,1.6273228387534895,1.6617698262172662,0.7502569373072949,2.6676300578033794,1000,128.0,0.0,static,,,,,,
64,4.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,256.0,0.0,static,,,,,,
64,4.0,0.1,0.02811345000000024,0.027811091250000235,0.028408910000000252,0.0215000000000001,0.0503000000000009,1.5496473881834758,1.5165303860566974,1.5842725163898455,0.46137339055793414,3.3762781186093522,1000,256.0,0.0,static,,,,,,
64,4.0,0.3,0.0336050500000004,0.03326527875000039,0.033929020000000414,0.0240000000000001,0.0503500000000009,1.8090659347070939,1.7778637013939136,1.8390879545490757,0.5980392156862684,3.326013513513389,1000,256.0,0.0,static,,,,,,
64,4.0,0.5,0.03751660000000052,0.037197296250000504,0.037828770000000525,0.0256500000000002,0.0518000000000009,1.8819505566688988,1.8566617486377985,1.9067916658595943,0.9574014909478155,3.428849902534024,1000,256.0,0.0,static,,,,,,
64,8.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,512.0,0.0,static,,,,,,
64,8.0,0.1,0.02444660000000013,0.024352546250000127,0.024547755000000133,0.0215500000000001,0.0344000000000004,1.759028518250595,1.7197896521382368,1.7967289750580004,0.6409883720930187,3.6483739837397495,1000,512.0,0.0,static,,,,,,
