fabric,P,k,seed,condition,flows,lower_bound_violations,strict_flow_fraction,mean_rate_ratio,max_rate_ratio,sum_rate_ratio,placement_digest,capacity_digest,route_digest
3tier_nb,16,8,2,hot_spot,128,0,0.34375,1.0842233294581518,1.9820523808110024,1.093208660117113,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,1be72a717d3b16dbf35eb9385b24df8e5574bc96b4359e0d7fa747a2bf566ec0
3tier_nb,16,8,3,none,128,0,0.0,1.0,1.0,1.0,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,3c7e85f2a87dc217fd1f88ede493fc90f894e0dd40683a34940dfcb69bc35e2f
3tier_nb,16,8,3,hot_spot,128,0,0.6484375,1.1073094720532481,2.1209798888445652,1.120170821992186,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,3c7e85f2a87dc217fd1f88ede493fc90f894e0dd40683a34940dfcb69bc35e2f
3tier_nb,16,8,4,none,128,0,0.0,1.0,1.0,1.0,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f760440cdb31a70611a6844fe393df82203dd269e023e9a71f709d2503bf06a1
3tier_nb,16,8,4,hot_spot,128,0,0.4921875,1.116590675811275,1.8545751040075806,1.136204781646451,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f760440cdb31a70611a6844fe393df82203dd269e023e9a71f709d2503bf06a1
3tier_nb,16,8,5,none,128,0,0.0,1.0,1.0,1.0,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,825487cc4e6ee2686b224547a8be10f65debd2358ef6bcb066ecc3982e7f1c89
3tier_nb,16,8,5,hot_spot,128,0,0.5703125,1.1755987512171315,2.7220570598002207,1.2237245041003557,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,825487cc4e6ee2686b224547a8be10f65debd2358ef6bcb066ecc3982e7f1c89
3tier_nb,16,8,6,none,128,0,0.0,1.0,1.0,1.0,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9250431dd22ac6776961718cfc761eff239d7c2253f52324e186c457b958e41e
3tier_nb,16,8,6,hot_spot,128,0,0.5390625,1.1770911623564968,1.776284026527423,1.2141379503394163,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9250431dd22ac6776961718cfc761eff239d7c2253f52324e186c457b958e41e
3tier_nb,16,8,7,none,128,0,0.0,1.0,1.0,1.0,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8cb61dea6c12fd9555eb5508a4b15d2c50d090ce5b3f675cb5ecac726ef5a040
3tier_nb,16,8,7,hot_spot,128,0,0.5703125,1.1348637417755392,4.666767969783651,1.1552153350469831,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8cb61dea6c12fd9555eb5508a4b15d2c50d090ce5b3f675cb5ecac726ef5a040
3tier_nb,16,8,8,none,128,0,0.0,1.0,1.0,1.0,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,24b9c0c692809abd69a3ae6f006365ef6f8d772e39d1dff3bd7439b1c4af3604
3tier_nb,16,8,8,hot_spot,128,0,0.671875,1.111684324723588,1.9219010011342785,1.1242167908703284,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,24b9c0c692809abd69a3ae6f006365ef6f8d772e39d1dff3bd7439b1c4af3604
3tier_nb,16,8,9,none,128,0,0.0,1.0,1.0,1.0,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,59181d39ba918fd4ac7d5b7daa96360b1f0ea8c28a8590f29c07c86b09be5048
3tier_nb,16,8,9,hot_spot,128,0,0.53125,1.1465104314579742,3.8143726394931243,1.1698595038514006,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,59181d39ba918fd4ac7d5b7daa96360b1f0ea8c28a8590f29c07c86b09be5048
3tier_nb,16,16,0,none,256,0,0.0,1.0,1.0,1.0,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a0690b31638b0498f47c87d90821781f38de3427b8a0bbc5614a68fdbb33e45f
