run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
23,220051988,64,0.1,adaptive,0.03775000000000057,2.0625,4
23,220051988,64,0.3,adaptive,0.06045000000000122,3.1875,4
23,220051988,64,0.5,adaptive,0.064950000000001,3.5625,4
27,260051992,16,0.0,adaptive,0.021500000000000102,1.0,1
27,260051992,16,0.1,adaptive,0.0319000000000004,1.4375,4
27,260051992,16,0.3,adaptive,0.0423500000000007,3.375,4
27,260051992,16,0.5,adaptive,0.05250000000000099,3.8125,4
27,260051992,64,0.0,adaptive,0.030350000000000356,1.1875,3
27,260051992,64,0.1,adaptive,0.04155000000000068,1.828125,4
27,260051992,64,0.3,adaptive,0.05745000000000113,2.9375,4
27,260051992,64,0.5,adaptive,0.06005000000000121,3.734375,4
21,200051986,16,0.0,adaptive,0.021500000000000102,1.0,1
21,200051986,16,0.1,adaptive,0.03230000000000041,1.5625,4
21,200051986,16,0.3,adaptive,0.061700000000001254,3.375,4
21,200051986,16,0.5,adaptive,0.04685000000000083,3.6875,4
21,200051986,64,0.0,adaptive,0.030350000000000356,1.484375,3
21,200051986,64,0.1,adaptive,0.03710000000000055,2.515625,4
21,200051986,64,0.3,adaptive,0.061700000000001254,3.25,4
21,200051986,64,0.5,adaptive,0.06650000000000084,3.640625,4
29,280051994,16,0.0,adaptive,0.021500000000000102,1.0,1
29,280051994,16,0.1,adaptive,0.031350000000000385,1.6875,4
29,280051994,16,0.3,adaptive,0.05425000000000104,3.125,4
29,280051994,16,0.5,adaptive,0.052950000000001,3.9375,4
29,280051994,64,0.0,adaptive,0.030350000000000356,1.3125,3
29,280051994,64,0.1,adaptive,0.039700000000000624,1.953125,4
29,280051994,64,0.3,adaptive,0.057850000000001144,3.203125,4
29,280051994,64,0.5,adaptive,0.05885000000000117,3.65625,4
37,360052002,16,0.0,adaptive,0.021500000000000102,1.0,1
37,360052002,16,0.1,adaptive,0.038000000000000575,1.5625,4
37,360052002,16,0.3,adaptive,0.04120000000000067,2.5,4
37,360052002,16,0.5,adaptive,0.04805000000000086,3.375,4
37,360052002,64,0.0,adaptive,0.030350000000000356,1.140625,3
37,360052002,64,0.1,adaptive,0.04855000000000088,1.8125,4
37,360052002,64,0.3,adaptive,0.05845000000000116,3.0,4
37,360052002,64,0.5,adaptive,0.057550000000001135,3.703125,4
31,300051996,16,0.0,adaptive,0.021500000000000102,1.0,1
31,300051996,16,0.1,adaptive,0.030650000000000364,1.25,3
31,300051996,16,0.3,adaptive,0.05010000000000092,3.6875,4
31,300051996,16,0.5,adaptive,0.055100000000001065,3.9375,4
31,300051996,64,0.0,adaptive,0.03290000000000043,1.25,3
31,300051996,64,0.1,adaptive,0.043900000000000744,1.890625,4
31,300051996,64,0.3,adaptive,0.06015000000000121,3.21875,4
31,300051996,64,0.5,adaptive,0.06130000000000124,3.765625,4
32,310051997,16,0.0,adaptive,0.021500000000000102,1.0,1
32,310051997,16,0.1,adaptive,0.032750000000000425,1.9375,4
32,310051997,16,0.3,adaptive,0.03925000000000061,3.4375,4
32,310051997,16,0.5,adaptive,0.060300000000001214,3.75,4
32,310051997,64,0.0,adaptive,0.030350000000000356,1.390625,3
32,310051997,64,0.1,adaptive,0.036600000000000535,2.0625,4
32,310051997,64,0.3,adaptive,0.05085000000000094,3.234375,4
32,310051997,64,0.5,adaptive,0.06840000000000063,3.703125,4
36,350052001,16,0.0,adaptive,0.021500000000000102,1.0,1
36,350052001,16,0.1,adaptive,0.029200000000000323,1.375,3
36,350052001,16,0.3,adaptive,0.04265000000000071,3.0625,4
36,350052001,16,0.5,adaptive,0.062050000000001264,3.8125,4
36,350052001,64,0.0,adaptive,0.02700000000000026,1.171875,2
36,350052001,64,0.1,adaptive,0.03720000000000055,2.015625,4
