ring_size,k,affected_fraction,speedup,speedup_ci_low,speedup_ci_high,n_seeds,total_qps,experiment,method,k_mean
32,4,0.1,1.9998068197613106,1.9707294460633669,2.029939035496816,1000,128,static,,4
32,8,0.1,2.3788596774178377,2.3444039631419167,2.4131992331295837,1000,256,static,,8
32,1,0.3,1.0,1.0,1.0,1000,32,static,,1
32,2,0.3,1.5632378253799417,1.5452362866945832,1.5808492991508851,1000,64,static,,2
32,4,0.3,2.1631205921237533,2.1362629762418837,2.1895249449144445,1000,128,static,,4
32,8,0.3,2.762670807217798,2.733183784965496,2.79298598759352,1000,256,static,,8
32,1,0.5,1.0,1.0,1.0,1000,32,static,,1
32,2,0.5,1.535721501810744,1.5186909171868093,1.552666715457606,1000,64,static,,2
32,4,0.5,2.177762974675875,2.1533699567826767,2.201743610535896,1000,128,static,,4
32,8,0.5,2.8828628426598217,2.8528395446914483,2.9134261131991495,1000,256,static,,8
64,1,0.0,1.0,1.0,1.0,1000,64,static,,1
64,2,0.0,1.4095433147826968,1.3917463523480458,1.427345709318098,1000,128,static,,2
64,4,0.0,1.8896309059210705,1.8674772824394608,1.9118699137604735,1000,256,static,,4
64,8,0.0,2.0480566022538054,2.029873052978513,2.0661203927412726,1000,512,static,,8
64,1,0.1,1.0,1.0,1.0,1000,64,static,,1
64,2,0.1,1.5171526833043987,1.4983432291739331,1.5362546814300586,1000,128,static,,2
64,4,0.1,2.0282637985835827,1.9997304910178568,2.0570783661287098,1000,256,static,,4
64,8,0.1,2.461725198895208,2.4264534865091583,2.4965962705749845,1000,512,static,,8
64,1,0.3,1.0,1.0,1.0,1000,64,static,,1
64,2,0.3,1.5107575805513698,1.4938872774962009,1.5269649311468705,1000,128,static,,2
64,4,0.3,2.117685752965498,2.092550566934773,2.1434033797310112,1000,256,static,,4
64,8,0.3,2.7256377937825365,2.694465351517907,2.7565390149474314,1000,512,static,,8
64,1,0.5,1.0,1.0,1.0,1000,64.0,static,,1
64,2,0.5,1.504148967188854,1.4890788640591872,1.5188851273584543,1000,128.0,static,,2
64,4,0.5,2.145969942611857,2.1231217532969486,2.1682956410086205,1000,256.0,static,,4
64,8,0.5,2.8435397332828636,2.8151023468415355,2.871443951410293,1000,512.0,static,,8
16,,0.0,1.1595423379167025,1.1435984659213687,1.1754260493373023,1000,16.79,adaptive,adaptive,1.049125
16,,0.0,1.2718433805378782,1.244902872331217,1.2985868803863045,1000,64.0,adaptive,static(k=4),4.0
16,,0.0,1.0,1.0,1.0,1000,16.0,adaptive,baseline,1.0
16,,0.1,1.7695486718067355,1.7474120059795561,1.7923153012858326,1000,28.6,adaptive,adaptive,1.787625
16,,0.1,1.924218162500814,1.8937365255015681,1.9548748107605753,1000,64.0,adaptive,static(k=4),4.0
16,,0.1,1.0,1.0,1.0,1000,16.0,adaptive,baseline,1.0
16,,0.3,2.0326241674993826,2.010994367500762,2.0545879174825816,1000,46.99,adaptive,adaptive,2.937187
16,,0.3,2.1815843887770843,2.1528712988004677,2.210645020473677,1000,64.0,adaptive,static(k=4),4.0
16,,0.3,1.0,1.0,1.0,1000,16.0,adaptive,baseline,1.0
16,,0.5,2.0768722260504777,2.057485983175978,2.096225815357555,1000,57.93,adaptive,adaptive,3.620625
16,,0.5,2.255937528380195,2.229711569546848,2.2822594952697814,1000,64.0,adaptive,static(k=4),4.0
16,,0.5,1.0,1.0,1.0,1000,16.0,adaptive,baseline,1.0
64,,0.0,1.4969458359245822,1.486357257249294,1.5075380897937416,1000,80.1,adaptive,adaptive,1.251531
64,,0.0,1.9028385992094887,1.8814080398780257,1.9243277072399199,1000,256.0,adaptive,static(k=4),4.0
64,,0.0,1.0,1.0,1.0,1000,64.0,adaptive,baseline,1.0
64,,0.1,2.034155069606589,2.00778346695914,2.0602972138708626,1000,131.24,adaptive,adaptive,2.050547
64,,0.1,1.99523925076283,1.965895360837618,2.024068487662918,1000,256.0,adaptive,static(k=4),4.0
64,,0.1,1.0,1.0,1.0,1000,64.0,adaptive,baseline,1.0
64,,0.3,2.131436838604436,2.108957671406321,2.1539517500737877,1000,200.82,adaptive,adaptive,3.137859
64,,0.3,2.1057642981348583,2.0800614261322017,2.1298141389967196,1000,256.0,adaptive,static(k=4),4.0
64,,0.3,1.0,1.0,1.0,1000,64.0,adaptive,baseline,1.0
64,,0.5,2.1135393200165833,2.094003399751777,2.133092884928593,1000,236.79,adaptive,adaptive,3.699859
64,,0.5,2.1560484617417526,2.132708381013218,2.1782768355501005,1000,256.0,adaptive,static(k=4),4.0
64,,0.5,1.0,1.0,1.0,1000,64.0,adaptive,baseline,1.0
